[1/200] D=0.4203 G=5.0208 (adv=0.7337, cycle=0.2922, id=0.2715, sem=0.0077)
[2/200] D=0.3818 G=3.7471 (adv=0.7605, cycle=0.2060, id=0.1839, sem=0.0069)
[3/200] D=0.3995 G=3.5450 (adv=0.7530, cycle=0.1956, id=0.1659, sem=0.0069)
[4/200] D=0.3773 G=3.2853 (adv=0.7820, cycle=0.1747, id=0.1500, sem=0.0067)
[5/200] D=0.3740 G=3.2605 (adv=0.8277, cycle=0.1703, id=0.1445, sem=0.0069)
[6/200] D=0.3700 G=3.1950 (adv=0.8375, cycle=0.1659, id=0.1383, sem=0.0069)
[7/200] D=0.3622 G=3.1653 (adv=0.8581, cycle=0.1628, id=0.1344, sem=0.0069)
[8/200] D=0.4648 G=2.9932 (adv=0.8395, cycle=0.1519, id=0.1256, sem=0.0067)
[9/200] D=0.3853 G=2.8943 (adv=0.7723, cycle=0.1502, id=0.1227, sem=0.0066)
[10/200] D=0.3758 G=2.8470 (adv=0.7976, cycle=0.1459, id=0.1166, sem=0.0068)
[11/200] D=0.3700 G=2.9111 (adv=0.8287, cycle=0.1486, id=0.1179, sem=0.0067)
[12/200] D=0.3700 G=2.8485 (adv=0.8435, cycle=0.1425, id=0.1147, sem=0.0068)
[13/200] D=0.3682 G=2.8600 (adv=0.8476, cycle=0.1435, id=0.1141, sem=0.0069)
[14/200] D=0.3786 G=2.8504 (adv=0.8519, cycle=0.1427, id=0.1129, sem=0.0069)
[15/200] D=0.3711 G=2.8075 (adv=0.8489, cycle=0.1401, id=0.1101, sem=0.0067)
[16/200] D=0.3718 G=2.7878 (adv=0.8632, cycle=0.1374, id=0.1088, sem=0.0067)
[17/200] D=0.3682 G=2.7633 (adv=0.8634, cycle=0.1361, id=0.1064, sem=0.0067)
[18/200] D=0.3637 G=2.7934 (adv=0.8828, cycle=0.1371, id=0.1066, sem=0.0068)
[19/200] D=0.3761 G=2.7454 (adv=0.8631, cycle=0.1353, id=0.1045, sem=0.0066)
[20/200] D=0.3705 G=2.7633 (adv=0.8951, cycle=0.1343, id=0.1037, sem=0.0065)
