[61/200] D=0.2399 G=3.4001 (adv=1.3052, cycle=0.1523, id=0.1117, sem=0.0137)
[62/200] D=0.2253 G=3.4911 (adv=1.3413, cycle=0.1563, id=0.1146, sem=0.0135)
[63/200] D=0.2375 G=3.4195 (adv=1.3170, cycle=0.1527, id=0.1123, sem=0.0140)
[64/200] D=0.2243 G=3.3757 (adv=1.3427, cycle=0.1483, id=0.1072, sem=0.0139)
[65/200] D=0.2233 G=3.4929 (adv=1.3824, cycle=0.1538, id=0.1117, sem=0.0137)
[66/200] D=0.2090 G=3.5828 (adv=1.4313, cycle=0.1567, id=0.1139, sem=0.0149)
[67/200] D=0.2246 G=3.4428 (adv=1.3304, cycle=0.1541, id=0.1113, sem=0.0150)
[68/200] D=0.4519 G=3.2720 (adv=1.2694, cycle=0.1437, id=0.1104, sem=0.0133)
[69/200] D=0.2918 G=3.0429 (adv=1.1007, cycle=0.1380, id=0.1099, sem=0.0122)
[70/200] D=0.2453 G=3.1676 (adv=1.2367, cycle=0.1389, id=0.1057, sem=0.0134)
[71/200] D=0.2262 G=3.3193 (adv=1.3132, cycle=0.1450, id=0.1084, sem=0.0140)
[72/200] D=0.2097 G=3.5632 (adv=1.4186, cycle=0.1565, id=0.1128, sem=0.0152)
[73/200] D=0.1863 G=3.4971 (adv=1.4318, cycle=0.1499, id=0.1102, sem=0.0148)
[74/200] D=0.1948 G=3.5491 (adv=1.4436, cycle=0.1528, id=0.1126, sem=0.0150)
[75/200] D=0.1986 G=3.4681 (adv=1.3983, cycle=0.1504, id=0.1100, sem=0.0156)
[76/200] D=0.2142 G=3.4593 (adv=1.3807, cycle=0.1508, id=0.1113, sem=0.0142)
[77/200] D=0.1894 G=3.5126 (adv=1.4342, cycle=0.1510, id=0.1107, sem=0.0145)
[78/200] D=0.1869 G=3.5433 (adv=1.4729, cycle=0.1499, id=0.1112, sem=0.0158)
[79/200] D=0.2058 G=3.4748 (adv=1.4227, cycle=0.1490, id=0.1096, sem=0.0147)
[80/200] D=0.1871 G=3.4949 (adv=1.4352, cycle=0.1500, id=0.1088, sem=0.0158)
[81/200] D=0.3964 G=3.6452 (adv=1.5574, cycle=0.1512, id=0.1121, sem=0.0153)
[82/200] D=0.2632 G=3.0915 (adv=1.2050, cycle=0.1339, id=0.1070, sem=0.0126)
[83/200] D=0.2424 G=3.1657 (adv=1.2182, cycle=0.1394, id=0.1079, sem=0.0142)
[84/200] D=0.2090 G=3.2966 (adv=1.3304, cycle=0.1414, id=0.1075, sem=0.0144)
[85/200] D=0.1985 G=3.3799 (adv=1.4032, cycle=0.1426, id=0.1071, sem=0.0152)
[86/200] D=0.1918 G=3.4316 (adv=1.4439, cycle=0.1431, id=0.1082, sem=0.0153)
[87/200] D=0.1644 G=3.5394 (adv=1.4861, cycle=0.1489, id=0.1098, sem=0.0157)
[88/200] D=0.4424 G=3.1801 (adv=1.2313, cycle=0.1405, id=0.1057, sem=0.0157)
[89/200] D=0.3341 G=2.7271 (adv=0.8795, cycle=0.1333, id=0.0999, sem=0.0147)
[90/200] D=0.2995 G=3.0067 (adv=1.0479, cycle=0.1424, id=0.1038, sem=0.0156)
