[1/200] D=0.4653 G=7.4225 (adv=0.7777, cycle=0.4516, id=0.4258)
[2/200] D=0.3690 G=4.7945 (adv=0.8336, cycle=0.2748, id=0.2427)
[3/200] D=0.3584 G=4.1701 (adv=0.8657, cycle=0.2306, id=0.1996)
[4/200] D=0.3407 G=4.1215 (adv=0.9272, cycle=0.2252, id=0.1885)
[5/200] D=0.3110 G=3.8298 (adv=0.9782, cycle=0.2004, id=0.1696)
[6/200] D=0.3141 G=3.7441 (adv=0.9991, cycle=0.1939, id=0.1612)
[7/200] D=0.3124 G=3.5750 (adv=0.9981, cycle=0.1818, id=0.1518)
[8/200] D=0.3224 G=3.5050 (adv=0.9615, cycle=0.1799, id=0.1489)
[9/200] D=0.3086 G=3.4793 (adv=0.9857, cycle=0.1772, id=0.1444)
[10/200] D=0.3169 G=3.3911 (adv=0.9818, cycle=0.1715, id=0.1389)
[11/200] D=0.3322 G=3.3142 (adv=0.9766, cycle=0.1665, id=0.1344)
[12/200] D=0.3053 G=3.2523 (adv=0.9633, cycle=0.1639, id=0.1299)
[13/200] D=0.3149 G=3.2728 (adv=0.9679, cycle=0.1658, id=0.1294)
[14/200] D=0.3141 G=3.1866 (adv=0.9796, cycle=0.1588, id=0.1237)
[15/200] D=0.4203 G=3.1373 (adv=0.9984, cycle=0.1535, id=0.1207)
[16/200] D=0.3368 G=2.9093 (adv=0.8805, cycle=0.1457, id=0.1143)
[17/200] D=0.3404 G=2.8925 (adv=0.9234, cycle=0.1418, id=0.1102)
[18/200] D=0.3043 G=2.9959 (adv=0.9603, cycle=0.1476, id=0.1118)
[19/200] D=0.3130 G=2.9651 (adv=0.9726, cycle=0.1445, id=0.1095)
[20/200] D=0.3143 G=2.9913 (adv=0.9854, cycle=0.1463, id=0.1086)
[21/200] D=0.3067 G=2.9620 (adv=0.9829, cycle=0.1446, id=0.1067)
[22/200] D=0.3200 G=2.9557 (adv=0.9956, cycle=0.1429, id=0.1063)
[23/200] D=0.3135 G=2.8863 (adv=0.9696, cycle=0.1402, id=0.1030)
[24/200] D=0.3231 G=2.9278 (adv=0.9783, cycle=0.1426, id=0.1048)
[25/200] D=0.3231 G=2.8447 (adv=0.9850, cycle=0.1360, id=0.0999)
[26/200] D=0.3184 G=2.8935 (adv=0.9959, cycle=0.1388, id=0.1019)
[27/200] D=0.3168 G=2.8063 (adv=0.9904, cycle=0.1329, id=0.0974)
[28/200] D=0.3295 G=2.8553 (adv=0.9833, cycle=0.1369, id=0.1006)
[29/200] D=0.3183 G=2.8323 (adv=0.9976, cycle=0.1345, id=0.0980)
[30/200] D=0.3094 G=2.8416 (adv=1.0100, cycle=0.1343, id=0.0977)
[31/200] D=0.3324 G=2.7852 (adv=1.0079, cycle=0.1305, id=0.0944)
[32/200] D=0.3154 G=2.7687 (adv=0.9936, cycle=0.1308, id=0.0935)
[33/200] D=0.3049 G=2.7688 (adv=1.0013, cycle=0.1298, id=0.0940)
[34/200] D=0.3234 G=2.8065 (adv=1.0326, cycle=0.1306, id=0.0936)
[35/200] D=0.3055 G=2.7612 (adv=1.0102, cycle=0.1291, id=0.0919)
[36/200] D=0.3135 G=2.7652 (adv=1.0192, cycle=0.1286, id=0.0920)
