[1/200] D=0.4536 G=4.4977 (adv=0.7107, cycle=0.2913, id=0.2914)
[2/200] D=0.4256 G=3.3898 (adv=0.6615, cycle=0.2094, id=0.2114)
[3/200] D=0.4209 G=3.1464 (adv=0.7127, cycle=0.1882, id=0.1840)
[4/200] D=0.4161 G=3.0190 (adv=0.7335, cycle=0.1784, id=0.1671)
[5/200] D=0.4162 G=2.9405 (adv=0.7530, cycle=0.1705, id=0.1608)
[6/200] D=0.4031 G=2.8352 (adv=0.7590, cycle=0.1637, id=0.1466)
[7/200] D=0.3943 G=2.9265 (adv=0.7894, cycle=0.1675, id=0.1541)
[8/200] D=0.4015 G=2.7617 (adv=0.7715, cycle=0.1568, id=0.1408)
[9/200] D=0.3958 G=2.7158 (adv=0.7846, cycle=0.1522, id=0.1364)
[10/200] D=0.4073 G=2.6847 (adv=0.7956, cycle=0.1498, id=0.1305)
[11/200] D=0.3882 G=2.6196 (adv=0.7927, cycle=0.1455, id=0.1239)
[12/200] D=0.3965 G=2.6364 (adv=0.8086, cycle=0.1454, id=0.1246)
[13/200] D=0.3876 G=2.7026 (adv=0.8308, cycle=0.1493, id=0.1262)
[14/200] D=0.3915 G=2.6235 (adv=0.8174, cycle=0.1438, id=0.1229)
[15/200] D=0.3918 G=2.6763 (adv=0.8333, cycle=0.1478, id=0.1216)
[16/200] D=0.4473 G=2.6242 (adv=0.8414, cycle=0.1427, id=0.1188)
[17/200] D=0.4249 G=2.3487 (adv=0.7027, cycle=0.1312, id=0.1113)
[18/200] D=0.3984 G=2.4605 (adv=0.7707, cycle=0.1344, id=0.1152)
[19/200] D=0.3981 G=2.4689 (adv=0.7925, cycle=0.1337, id=0.1131)
[20/200] D=0.4151 G=2.4172 (adv=0.7847, cycle=0.1306, id=0.1089)
[21/200] D=0.4007 G=2.4427 (adv=0.7807, cycle=0.1323, id=0.1132)
[22/200] D=0.4013 G=2.4444 (adv=0.7916, cycle=0.1320, id=0.1110)
[23/200] D=0.4083 G=2.4325 (adv=0.7926, cycle=0.1311, id=0.1097)
[24/200] D=0.4068 G=2.3792 (adv=0.7963, cycle=0.1269, id=0.1048)
[25/200] D=0.4049 G=2.4669 (adv=0.8063, cycle=0.1318, id=0.1144)
[26/200] D=0.4685 G=2.3525 (adv=0.7861, cycle=0.1252, id=0.1049)
[27/200] D=0.4075 G=2.2600 (adv=0.7403, cycle=0.1217, id=0.1010)
[28/200] D=0.4556 G=2.2308 (adv=0.7198, cycle=0.1204, id=0.1023)
[29/200] D=0.3966 G=2.3299 (adv=0.7621, cycle=0.1255, id=0.1043)
[30/200] D=0.4047 G=2.2879 (adv=0.7687, cycle=0.1223, id=0.0988)
