[1/200] D=0.4334 G=5.2964 (adv=0.7264, cycle=0.3118, id=0.2891, sem=0.0067)
[2/200] D=0.3661 G=4.0183 (adv=0.7950, cycle=0.2222, id=0.1991, sem=0.0058)
[3/200] D=0.3761 G=3.8689 (adv=0.7901, cycle=0.2153, id=0.1841, sem=0.0056)
[4/200] D=0.3576 G=3.6650 (adv=0.8395, cycle=0.1975, id=0.1690, sem=0.0054)
[5/200] D=0.3401 G=3.6295 (adv=0.9101, cycle=0.1901, id=0.1626, sem=0.0054)
[6/200] D=0.3285 G=3.5649 (adv=0.9296, cycle=0.1849, id=0.1561, sem=0.0055)
[7/200] D=0.3200 G=3.5643 (adv=0.9730, cycle=0.1832, id=0.1508, sem=0.0055)
[8/200] D=0.3339 G=3.5010 (adv=1.0022, cycle=0.1777, id=0.1433, sem=0.0055)
[9/200] D=0.3525 G=3.3411 (adv=0.9187, cycle=0.1711, id=0.1411, sem=0.0055)
[10/200] D=0.3114 G=3.3933 (adv=0.9618, cycle=0.1728, id=0.1396, sem=0.0055)
[11/200] D=0.3172 G=3.3710 (adv=0.9909, cycle=0.1694, id=0.1361, sem=0.0055)
[12/200] D=0.3057 G=3.2852 (adv=0.9989, cycle=0.1632, id=0.1296, sem=0.0056)
[13/200] D=0.3126 G=3.2772 (adv=1.0005, cycle=0.1637, id=0.1268, sem=0.0056)
[14/200] D=0.3595 G=3.2772 (adv=1.0124, cycle=0.1623, id=0.1272, sem=0.0055)
