[1/200] D=0.4380 G=5.7289 (adv=0.6954, cycle=0.3361, id=0.3345)
[2/200] D=0.3892 G=4.2887 (adv=0.7388, cycle=0.2374, id=0.2351)
[3/200] D=0.3972 G=4.0202 (adv=0.8026, cycle=0.2166, id=0.2103)
[4/200] D=0.3610 G=3.8649 (adv=0.8054, cycle=0.2073, id=0.1973)
[5/200] D=0.3392 G=3.8707 (adv=0.8912, cycle=0.2033, id=0.1893)
[6/200] D=0.3585 G=3.8186 (adv=0.9137, cycle=0.1991, id=0.1828)
[7/200] D=0.3290 G=3.8616 (adv=0.9142, cycle=0.2024, id=0.1847)
[8/200] D=0.3402 G=3.7161 (adv=0.9063, cycle=0.1931, id=0.1757)
[9/200] D=0.3441 G=3.7699 (adv=0.9377, cycle=0.1953, id=0.1757)
[10/200] D=0.3320 G=3.6816 (adv=0.9417, cycle=0.1891, id=0.1698)
[11/200] D=0.3499 G=3.7482 (adv=0.9364, cycle=0.1961, id=0.1702)
[12/200] D=0.3590 G=3.6696 (adv=0.8947, cycle=0.1944, id=0.1662)
[13/200] D=0.3443 G=3.6321 (adv=0.9156, cycle=0.1907, id=0.1620)
[14/200] D=0.3497 G=3.5881 (adv=0.9241, cycle=0.1863, id=0.1603)
[15/200] D=0.3399 G=3.6481 (adv=0.9554, cycle=0.1891, id=0.1603)
[16/200] D=0.5169 G=3.7662 (adv=1.0815, cycle=0.1890, id=0.1589)
[17/200] D=0.4065 G=3.1850 (adv=0.7133, cycle=0.1721, id=0.1502)
[18/200] D=0.3804 G=3.2858 (adv=0.7669, cycle=0.1761, id=0.1515)
[19/200] D=0.3541 G=3.3255 (adv=0.8383, cycle=0.1747, id=0.1481)
[20/200] D=0.3357 G=3.4431 (adv=0.9102, cycle=0.1780, id=0.1506)
[21/200] D=0.3339 G=3.4509 (adv=0.9325, cycle=0.1774, id=0.1489)
[22/200] D=0.3280 G=3.4874 (adv=0.9631, cycle=0.1781, id=0.1487)
[23/200] D=0.3216 G=3.5495 (adv=0.9841, cycle=0.1808, id=0.1516)
[24/200] D=0.3215 G=3.5074 (adv=1.0096, cycle=0.1769, id=0.1458)
[25/200] D=0.3086 G=3.5255 (adv=1.0353, cycle=0.1766, id=0.1449)
[26/200] D=0.2926 G=3.5922 (adv=1.0783, cycle=0.1781, id=0.1466)
[27/200] D=0.3026 G=3.5363 (adv=1.0736, cycle=0.1745, id=0.1436)
[28/200] D=0.2839 G=3.5351 (adv=1.0985, cycle=0.1728, id=0.1418)
[29/200] D=0.2866 G=3.6256 (adv=1.1238, cycle=0.1773, id=0.1458)
[30/200] D=0.3273 G=3.5485 (adv=1.1441, cycle=0.1707, id=0.1396)
[31/200] D=0.3682 G=3.3437 (adv=0.9735, cycle=0.1677, id=0.1387)
[32/200] D=0.2649 G=3.4790 (adv=1.0808, cycle=0.1704, id=0.1387)
[33/200] D=0.2623 G=3.4532 (adv=1.1225, cycle=0.1659, id=0.1343)
[34/200] D=0.2593 G=3.5649 (adv=1.1675, cycle=0.1706, id=0.1384)
[35/200] D=0.2588 G=3.5356 (adv=1.1710, cycle=0.1692, id=0.1346)
[36/200] D=0.2607 G=3.5506 (adv=1.1946, cycle=0.1682, id=0.1348)
[37/200] D=0.4383 G=3.3468 (adv=0.9762, cycle=0.1684, id=0.1372)
[38/200] D=0.3401 G=3.2540 (adv=0.9339, cycle=0.1648, id=0.1344)
[39/200] D=0.2639 G=3.4376 (adv=1.1230, cycle=0.1650, id=0.1328)
[40/200] D=0.2527 G=3.5540 (adv=1.1764, cycle=0.1703, id=0.1349)
[41/200] D=0.2481 G=3.5296 (adv=1.2149, cycle=0.1653, id=0.1324)
[42/200] D=0.2423 G=3.5697 (adv=1.2357, cycle=0.1668, id=0.1331)
[43/200] D=0.2547 G=3.5096 (adv=1.1995, cycle=0.1647, id=0.1326)
[44/200] D=0.4232 G=3.6777 (adv=1.2796, cycle=0.1722, id=0.1351)
[45/200] D=0.3077 G=3.2471 (adv=1.0351, cycle=0.1569, id=0.1285)
[46/200] D=0.3931 G=3.2768 (adv=1.0942, cycle=0.1548, id=0.1269)
[47/200] D=0.4125 G=2.8218 (adv=0.6490, cycle=0.1533, id=0.1279)
[48/200] D=0.3765 G=2.9318 (adv=0.7504, cycle=0.1541, id=0.1281)
[49/200] D=0.3619 G=2.9770 (adv=0.8285, cycle=0.1527, id=0.1243)
[50/200] D=0.3614 G=3.0551 (adv=0.8525, cycle=0.1565, id=0.1274)
[51/200] D=0.3546 G=3.1104 (adv=0.8928, cycle=0.1573, id=0.1289)
[52/200] D=0.3561 G=3.1353 (adv=0.9140, cycle=0.1584, id=0.1274)
[53/200] D=0.3527 G=3.1102 (adv=0.9137, cycle=0.1560, id=0.1273)
[54/200] D=0.3438 G=3.1461 (adv=0.9544, cycle=0.1561, id=0.1261)
[55/200] D=0.3491 G=3.1881 (adv=0.9492, cycle=0.1593, id=0.1292)
