[1/200] D=0.3672 G=4.0102 (adv=0.8436, cycle=0.2383, id=0.2240)
[2/200] D=0.3488 G=3.2548 (adv=0.8398, cycle=0.1828, id=0.1678)
[3/200] D=0.3409 G=3.0097 (adv=0.9089, cycle=0.1578, id=0.1493)
[4/200] D=0.3432 G=2.8843 (adv=0.9053, cycle=0.1501, id=0.1367)
[5/200] D=0.3711 G=3.0339 (adv=1.0007, cycle=0.1550, id=0.1381)
[6/200] D=0.3396 G=2.8949 (adv=0.9670, cycle=0.1471, id=0.1304)
[7/200] D=0.3315 G=2.7083 (adv=0.8986, cycle=0.1383, id=0.1218)
[8/200] D=0.3204 G=2.8558 (adv=0.9919, cycle=0.1436, id=0.1221)
[9/200] D=0.3357 G=2.7830 (adv=0.9654, cycle=0.1404, id=0.1182)
[10/200] D=0.3420 G=2.7049 (adv=0.9633, cycle=0.1347, id=0.1128)
[11/200] D=0.3318 G=2.7125 (adv=0.9665, cycle=0.1352, id=0.1126)
[12/200] D=0.3285 G=2.7295 (adv=0.9962, cycle=0.1354, id=0.1084)
[13/200] D=0.3750 G=2.6297 (adv=0.9571, cycle=0.1304, id=0.1053)
[14/200] D=0.3329 G=2.5937 (adv=0.9571, cycle=0.1276, id=0.1032)
[15/200] D=0.3435 G=2.5607 (adv=0.9525, cycle=0.1259, id=0.0999)
[16/200] D=0.3474 G=2.5473 (adv=0.9549, cycle=0.1249, id=0.0980)
[17/200] D=0.3370 G=2.5976 (adv=0.9983, cycle=0.1255, id=0.0983)
[18/200] D=0.3353 G=2.5365 (adv=0.9732, cycle=0.1232, id=0.0946)
[19/200] D=0.3391 G=2.5417 (adv=0.9805, cycle=0.1234, id=0.0935)
[20/200] D=0.5754 G=3.0805 (adv=1.1513, cycle=0.1488, id=0.1260)
[21/200] D=0.3417 G=2.4446 (adv=0.8887, cycle=0.1212, id=0.0981)
[22/200] D=0.3390 G=2.3990 (adv=0.9122, cycle=0.1168, id=0.0911)
[23/200] D=0.3393 G=2.4208 (adv=0.9308, cycle=0.1176, id=0.0898)
[24/200] D=0.3316 G=2.4772 (adv=0.9674, cycle=0.1196, id=0.0896)
[25/200] D=0.3074 G=2.7098 (adv=1.0635, cycle=0.1298, id=0.0994)
[26/200] D=0.3305 G=2.5124 (adv=0.9813, cycle=0.1211, id=0.0915)
[27/200] D=0.3383 G=2.4680 (adv=0.9702, cycle=0.1188, id=0.0885)
[28/200] D=0.3509 G=2.4394 (adv=0.9600, cycle=0.1174, id=0.0871)
[29/200] D=0.4558 G=2.7983 (adv=1.1214, cycle=0.1330, id=0.0990)
[30/200] D=0.3348 G=2.3295 (adv=0.8911, cycle=0.1136, id=0.0864)
[31/200] D=0.3380 G=2.3710 (adv=0.9270, cycle=0.1146, id=0.0851)
[32/200] D=0.3392 G=2.3603 (adv=0.9434, cycle=0.1128, id=0.0825)
[33/200] D=0.3576 G=2.3736 (adv=0.9294, cycle=0.1149, id=0.0843)
[34/200] D=0.3566 G=2.3566 (adv=0.9328, cycle=0.1138, id=0.0818)
[35/200] D=0.3638 G=2.2943 (adv=0.9017, cycle=0.1111, id=0.0803)
[36/200] D=0.3564 G=2.3364 (adv=0.9368, cycle=0.1120, id=0.0799)
[37/200] D=0.3575 G=2.3184 (adv=0.9279, cycle=0.1115, id=0.0787)
[38/200] D=0.4777 G=2.4622 (adv=0.9970, cycle=0.1171, id=0.0840)
[39/200] D=0.3502 G=2.2360 (adv=0.8739, cycle=0.1088, id=0.0783)
[40/200] D=0.3492 G=2.2571 (adv=0.8954, cycle=0.1094, id=0.0765)
[41/200] D=0.3573 G=2.2449 (adv=0.8991, cycle=0.1081, id=0.0755)
[42/200] D=0.3671 G=2.2302 (adv=0.8922, cycle=0.1076, id=0.0749)
[43/200] D=0.5495 G=2.5431 (adv=1.0308, cycle=0.1216, id=0.0847)
[44/200] D=0.4047 G=2.0394 (adv=0.7247, cycle=0.1050, id=0.0756)
[45/200] D=0.3759 G=2.0941 (adv=0.8111, cycle=0.1032, id=0.0718)
[46/200] D=0.3646 G=2.1352 (adv=0.8496, cycle=0.1033, id=0.0722)
[47/200] D=0.3671 G=2.1830 (adv=0.8796, cycle=0.1050, id=0.0724)
[48/200] D=0.3702 G=2.1617 (adv=0.8857, cycle=0.1029, id=0.0706)
[49/200] D=0.3728 G=2.1832 (adv=0.8863, cycle=0.1044, id=0.0724)
[50/200] D=0.3712 G=2.1812 (adv=0.8933, cycle=0.1039, id=0.0710)
[51/200] D=0.3704 G=2.1606 (adv=0.8839, cycle=0.1030, id=0.0704)
[52/200] D=0.3727 G=2.1506 (adv=0.8863, cycle=0.1022, id=0.0693)
[53/200] D=0.5685 G=2.7326 (adv=1.1453, cycle=0.1261, id=0.0932)
[54/200] D=0.3479 G=2.1471 (adv=0.8422, cycle=0.1048, id=0.0734)
[55/200] D=0.3583 G=2.0928 (adv=0.8539, cycle=0.0999, id=0.0685)
[56/200] D=0.5111 G=2.2477 (adv=0.8933, cycle=0.1091, id=0.0751)
[57/200] D=0.4095 G=1.9158 (adv=0.7212, cycle=0.0958, id=0.0676)
[58/200] D=0.3737 G=1.9916 (adv=0.7911, cycle=0.0967, id=0.0668)
[59/200] D=0.3601 G=2.1049 (adv=0.8590, cycle=0.1002, id=0.0698)
[60/200] D=0.3725 G=2.0842 (adv=0.8682, cycle=0.0982, id=0.0668)
[61/200] D=0.3685 G=2.0980 (adv=0.8718, cycle=0.0993, id=0.0665)
[62/200] D=0.3756 G=2.0862 (adv=0.8715, cycle=0.0982, id=0.0664)
[63/200] D=0.3793 G=2.0789 (adv=0.8715, cycle=0.0978, id=0.0657)
[64/200] D=0.3750 G=2.0720 (adv=0.8732, cycle=0.0971, id=0.0652)
[65/200] D=0.3742 G=2.0953 (adv=0.8809, cycle=0.0980, id=0.0669)
[66/200] D=0.3766 G=2.0779 (adv=0.8788, cycle=0.0972, id=0.0648)
[67/200] D=0.3748 G=2.0838 (adv=0.8833, cycle=0.0974, id=0.0646)
[68/200] D=0.3637 G=2.1206 (adv=0.9075, cycle=0.0984, id=0.0655)
[69/200] D=0.3723 G=2.0714 (adv=0.8827, cycle=0.0965, id=0.0640)
[70/200] D=0.3729 G=2.0842 (adv=0.8941, cycle=0.0966, id=0.0641)
[71/200] D=0.3470 G=2.2467 (adv=0.9586, cycle=0.1044, id=0.0697)
[72/200] D=0.3490 G=2.1737 (adv=0.9458, cycle=0.1001, id=0.0648)
[73/200] D=0.7762 G=2.4475 (adv=0.9783, cycle=0.1194, id=0.0787)
[74/200] D=0.3685 G=2.0117 (adv=0.8267, cycle=0.0964, id=0.0631)
[75/200] D=0.3467 G=2.0591 (adv=0.8719, cycle=0.0966, id=0.0632)
[76/200] D=0.3309 G=2.1397 (adv=0.9296, cycle=0.0988, id=0.0634)
[77/200] D=0.3400 G=2.1325 (adv=0.9213, cycle=0.0985, id=0.0646)
[78/200] D=0.3552 G=2.0981 (adv=0.9184, cycle=0.0962, id=0.0622)
[79/200] D=0.5061 G=2.4027 (adv=1.0452, cycle=0.1102, id=0.0730)
[80/200] D=0.3663 G=1.9730 (adv=0.8218, cycle=0.0932, id=0.0627)
[81/200] D=0.3572 G=2.0200 (adv=0.8593, cycle=0.0944, id=0.0620)
[82/200] D=0.3631 G=2.0000 (adv=0.8627, cycle=0.0925, id=0.0606)
[83/200] D=0.3636 G=2.0636 (adv=0.8827, cycle=0.0959, id=0.0634)
[84/200] D=0.3544 G=2.1278 (adv=0.9190, cycle=0.0984, id=0.0641)
[85/200] D=0.3652 G=2.0412 (adv=0.8887, cycle=0.0939, id=0.0610)
[86/200] D=0.3757 G=2.0236 (adv=0.8841, cycle=0.0932, id=0.0594)
[87/200] D=0.3620 G=2.1217 (adv=0.9291, cycle=0.0973, id=0.0629)
[88/200] D=0.3490 G=2.1470 (adv=0.9541, cycle=0.0976, id=0.0621)
[89/200] D=0.3570 G=2.1039 (adv=0.9357, cycle=0.0952, id=0.0616)
[90/200] D=0.3563 G=2.0898 (adv=0.9261, cycle=0.0950, id=0.0611)
[91/200] D=0.3593 G=2.0861 (adv=0.9310, cycle=0.0946, id=0.0597)
[92/200] D=0.3509 G=2.1079 (adv=0.9487, cycle=0.0949, id=0.0600)
[93/200] D=0.3549 G=2.1064 (adv=0.9409, cycle=0.0952, id=0.0611)
[94/200] D=0.3654 G=2.0393 (adv=0.8988, cycle=0.0931, id=0.0599)
[95/200] D=0.3715 G=2.0245 (adv=0.8951, cycle=0.0923, id=0.0589)
[96/200] D=0.3696 G=2.0289 (adv=0.8996, cycle=0.0922, id=0.0593)
[97/200] D=0.3685 G=2.0144 (adv=0.8916, cycle=0.0917, id=0.0588)
[98/200] D=0.3661 G=2.0499 (adv=0.9090, cycle=0.0934, id=0.0590)
[99/200] D=0.6399 G=2.0942 (adv=0.8983, cycle=0.0979, id=0.0619)
[100/200] D=0.4350 G=1.7532 (adv=0.6989, cycle=0.0854, id=0.0572)
[101/200] D=0.3859 G=1.8575 (adv=0.7862, cycle=0.0872, id=0.0569)
[102/200] D=0.3593 G=1.9213 (adv=0.8403, cycle=0.0882, id=0.0569)
[103/200] D=0.3534 G=1.9935 (adv=0.8847, cycle=0.0904, id=0.0586)
[104/200] D=0.7128 G=2.1576 (adv=0.9452, cycle=0.0992, id=0.0629)
[105/200] D=0.4094 G=1.7733 (adv=0.7699, cycle=0.0811, id=0.0550)
[106/200] D=0.3892 G=1.8287 (adv=0.8058, cycle=0.0828, id=0.0556)
[107/200] D=0.3492 G=1.9285 (adv=0.8682, cycle=0.0862, id=0.0566)
[108/200] D=0.3449 G=1.9719 (adv=0.8954, cycle=0.0878, id=0.0568)
[109/200] D=0.3426 G=2.0239 (adv=0.9166, cycle=0.0903, id=0.0584)
[110/200] D=0.3100 G=2.1721 (adv=0.9896, cycle=0.0966, id=0.0620)
[111/200] D=0.3483 G=2.0220 (adv=0.9318, cycle=0.0895, id=0.0558)
[112/200] D=0.3553 G=1.9891 (adv=0.9186, cycle=0.0878, id=0.0549)
[113/200] D=0.3534 G=1.9916 (adv=0.9202, cycle=0.0880, id=0.0547)
[114/200] D=0.3334 G=2.0631 (adv=0.9654, cycle=0.0902, id=0.0558)
[115/200] D=0.3559 G=1.9720 (adv=0.9208, cycle=0.0865, id=0.0532)
[116/200] D=0.3390 G=2.0595 (adv=0.9616, cycle=0.0901, id=0.0563)
[117/200] D=0.2953 G=2.2930 (adv=1.0741, cycle=0.0998, id=0.0631)
[118/200] D=0.3363 G=2.0498 (adv=0.9463, cycle=0.0907, id=0.0561)
[119/200] D=0.3288 G=2.0863 (adv=0.9821, cycle=0.0909, id=0.0557)
[120/200] D=0.3371 G=2.0210 (adv=0.9590, cycle=0.0872, id=0.0541)
[121/200] D=0.4550 G=2.2908 (adv=1.0769, cycle=0.1001, id=0.0608)
[122/200] D=0.3498 G=1.9223 (adv=0.8875, cycle=0.0853, id=0.0519)
[123/200] D=0.3462 G=1.9498 (adv=0.9071, cycle=0.0860, id=0.0522)
[124/200] D=0.3458 G=1.9808 (adv=0.9231, cycle=0.0873, id=0.0528)
[125/200] D=0.3452 G=1.9801 (adv=0.9314, cycle=0.0865, id=0.0524)
[126/200] D=0.3334 G=2.0249 (adv=0.9561, cycle=0.0881, id=0.0536)
[127/200] D=0.3507 G=1.9498 (adv=0.9273, cycle=0.0843, id=0.0512)
