[53/200] D=0.3612 G=2.3987 (adv=0.8714, cycle=0.1094, id=0.0630, sky=0.1182)
[54/200] D=0.3629 G=2.4169 (adv=0.8925, cycle=0.1091, id=0.0629, sky=0.1190)
[55/200] D=0.3641 G=2.4334 (adv=0.8937, cycle=0.1104, id=0.0634, sky=0.1187)
[56/200] D=0.5595 G=2.5247 (adv=0.9316, cycle=0.1147, id=0.0655, sky=0.1180)
[57/200] D=0.4332 G=2.1217 (adv=0.6982, cycle=0.1002, id=0.0611, sky=0.1163)
[58/200] D=0.4031 G=2.1689 (adv=0.7519, cycle=0.1001, id=0.0601, sky=0.1156)
[59/200] D=0.3645 G=2.2871 (adv=0.8255, cycle=0.1041, id=0.0608, sky=0.1172)
[60/200] D=0.3584 G=2.3490 (adv=0.8637, cycle=0.1061, id=0.0613, sky=0.1177)
[61/200] D=0.3628 G=2.3421 (adv=0.8685, cycle=0.1053, id=0.0608, sky=0.1171)
[62/200] D=0.3591 G=2.3824 (adv=0.8858, cycle=0.1074, id=0.0609, sky=0.1179)
[63/200] D=0.3594 G=2.3751 (adv=0.8964, cycle=0.1057, id=0.0608, sky=0.1181)
[64/200] D=0.3634 G=2.3886 (adv=0.8943, cycle=0.1073, id=0.0606, sky=0.1181)
[65/200] D=0.3635 G=2.3934 (adv=0.9037, cycle=0.1070, id=0.0604, sky=0.1179)
[66/200] D=0.3627 G=2.3685 (adv=0.9024, cycle=0.1053, id=0.0591, sky=0.1176)
[67/200] D=0.3544 G=2.4194 (adv=0.9192, cycle=0.1078, id=0.0608, sky=0.1183)
[68/200] D=0.5519 G=2.3302 (adv=0.8641, cycle=0.1046, id=0.0607, sky=0.1163)
[69/200] D=0.4198 G=2.0562 (adv=0.7105, cycle=0.0948, id=0.0568, sky=0.1140)
[70/200] D=0.3706 G=2.1986 (adv=0.8084, cycle=0.0987, id=0.0575, sky=0.1160)
[71/200] D=0.3602 G=2.2650 (adv=0.8552, cycle=0.1005, id=0.0575, sky=0.1171)
[72/200] D=0.3559 G=2.3435 (adv=0.9024, cycle=0.1032, id=0.0585, sky=0.1166)
[73/200] D=0.3494 G=2.3649 (adv=0.9170, cycle=0.1038, id=0.0586, sky=0.1170)
[74/200] D=0.3567 G=2.3515 (adv=0.9193, cycle=0.1024, id=0.0582, sky=0.1173)
[75/200] D=0.3481 G=2.3687 (adv=0.9278, cycle=0.1035, id=0.0576, sky=0.1175)
[76/200] D=0.4809 G=2.1394 (adv=0.7809, cycle=0.0960, id=0.0569, sky=0.1143)
[77/200] D=0.3549 G=2.2632 (adv=0.8813, cycle=0.0984, id=0.0563, sky=0.1165)
[78/200] D=0.3435 G=2.3205 (adv=0.9103, cycle=0.1010, id=0.0567, sky=0.1169)
[79/200] D=0.3422 G=2.3441 (adv=0.9302, cycle=0.1012, id=0.0568, sky=0.1172)
[80/200] D=0.3419 G=2.3696 (adv=0.9456, cycle=0.1024, id=0.0565, sky=0.1172)
[81/200] D=0.3475 G=2.3412 (adv=0.9420, cycle=0.1002, id=0.0561, sky=0.1171)
[82/200] D=0.3419 G=2.3473 (adv=0.9517, cycle=0.0999, id=0.0558, sky=0.1171)
[83/200] D=0.3422 G=2.3649 (adv=0.9581, cycle=0.1013, id=0.0555, sky=0.1168)
[84/200] D=0.3462 G=2.3624 (adv=0.9627, cycle=0.1002, id=0.0561, sky=0.1170)
[85/200] D=0.4903 G=2.3434 (adv=0.9167, cycle=0.1021, id=0.0581, sky=0.1157)
[86/200] D=0.3977 G=2.0756 (adv=0.7678, cycle=0.0923, id=0.0540, sky=0.1146)
[87/200] D=0.3365 G=2.2582 (adv=0.9076, cycle=0.0962, id=0.0544, sky=0.1162)
[88/200] D=0.3343 G=2.3103 (adv=0.9448, cycle=0.0974, id=0.0551, sky=0.1163)
[89/200] D=0.3291 G=2.3558 (adv=0.9759, cycle=0.0991, id=0.0544, sky=0.1166)
[90/200] D=0.3293 G=2.3597 (adv=0.9741, cycle=0.0994, id=0.0550, sky=0.1164)
[91/200] D=0.3296 G=2.3483 (adv=0.9730, cycle=0.0986, id=0.0544, sky=0.1172)
[92/200] D=0.3341 G=2.3777 (adv=0.9978, cycle=0.0990, id=0.0547, sky=0.1163)
[93/200] D=0.5412 G=2.6932 (adv=1.1431, cycle=0.1123, id=0.0623, sky=0.1160)
[94/200] D=0.3275 G=2.5308 (adv=0.9622, cycle=0.1131, id=0.0636, sky=0.1191)
[95/200] D=0.3210 G=2.2928 (adv=0.9427, cycle=0.0965, id=0.0538, sky=0.1165)
[96/200] D=0.3200 G=2.2954 (adv=0.9582, cycle=0.0952, id=0.0537, sky=0.1164)
[97/200] D=0.3151 G=2.3073 (adv=0.9714, cycle=0.0956, id=0.0527, sky=0.1160)
[98/200] D=0.6030 G=2.2704 (adv=0.8458, cycle=0.1017, id=0.0587, sky=0.1142)
[99/200] D=0.3545 G=2.0847 (adv=0.8163, cycle=0.0897, id=0.0515, sky=0.1139)
[100/200] D=0.3319 G=2.1984 (adv=0.8857, cycle=0.0934, id=0.0528, sky=0.1151)
[101/200] D=0.3292 G=2.2411 (adv=0.9243, cycle=0.0939, id=0.0525, sky=0.1156)
[102/200] D=0.3284 G=2.2782 (adv=0.9480, cycle=0.0952, id=0.0525, sky=0.1155)
[103/200] D=0.3301 G=2.3048 (adv=0.9676, cycle=0.0958, id=0.0527, sky=0.1156)
[104/200] D=0.4113 G=2.4206 (adv=1.0334, cycle=0.1000, id=0.0544, sky=0.1157)
[105/200] D=0.3722 G=2.0931 (adv=0.8102, cycle=0.0909, id=0.0518, sky=0.1145)
[106/200] D=0.3289 G=2.2620 (adv=0.9498, cycle=0.0934, id=0.0523, sky=0.1161)
[107/200] D=0.3112 G=2.2856 (adv=0.9798, cycle=0.0929, id=0.0522, sky=0.1159)
[108/200] D=0.3233 G=2.2859 (adv=0.9828, cycle=0.0931, id=0.0512, sky=0.1156)
[109/200] D=0.3201 G=2.3081 (adv=0.9973, cycle=0.0938, id=0.0515, sky=0.1156)
[110/200] D=0.3267 G=2.2621 (adv=0.9663, cycle=0.0924, id=0.0511, sky=0.1157)
[111/200] D=0.3248 G=2.3001 (adv=1.0016, cycle=0.0926, id=0.0514, sky=0.1158)
[112/200] D=0.3199 G=2.3165 (adv=1.0118, cycle=0.0937, id=0.0505, sky=0.1152)
[113/200] D=0.3222 G=2.2825 (adv=1.0014, cycle=0.0916, id=0.0500, sky=0.1151)
[114/200] D=0.3190 G=2.2760 (adv=0.9963, cycle=0.0914, id=0.0500, sky=0.1156)
[115/200] D=0.3185 G=2.2962 (adv=1.0142, cycle=0.0916, id=0.0502, sky=0.1153)
[116/200] D=0.3172 G=2.3117 (adv=1.0238, cycle=0.0923, id=0.0499, sky=0.1152)
[117/200] D=0.3171 G=2.2966 (adv=1.0171, cycle=0.0915, id=0.0498, sky=0.1154)
[118/200] D=0.3145 G=2.2787 (adv=1.0178, cycle=0.0901, id=0.0489, sky=0.1151)
[119/200] D=0.3146 G=2.3098 (adv=1.0146, cycle=0.0929, id=0.0501, sky=0.1157)
[120/200] D=0.3118 G=2.2943 (adv=1.0265, cycle=0.0908, id=0.0489, sky=0.1155)
