[1/200] D=0.4375 G=6.1727 (adv=0.8165, cycle=0.3570, id=0.3410, sky=0.0815)
[2/200] D=0.3800 G=4.0754 (adv=0.7657, cycle=0.2228, id=0.2040, sky=0.0615)
[3/200] D=0.3660 G=3.8782 (adv=0.8175, cycle=0.2086, id=0.1827, sky=0.0609)
[4/200] D=0.3220 G=3.7310 (adv=0.9266, cycle=0.1929, id=0.1630, sky=0.0602)
[5/200] D=0.3684 G=3.4419 (adv=0.7890, cycle=0.1854, id=0.1476, sky=0.0616)
[6/200] D=0.3653 G=3.3055 (adv=0.7987, cycle=0.1762, id=0.1367, sky=0.0615)
[7/200] D=0.4090 G=3.2013 (adv=0.8030, cycle=0.1679, id=0.1322, sky=0.0589)
[8/200] D=0.3608 G=3.1810 (adv=0.8270, cycle=0.1648, id=0.1291, sky=0.0605)
[9/200] D=0.3509 G=3.1321 (adv=0.8525, cycle=0.1600, id=0.1237, sky=0.0617)
[10/200] D=0.3566 G=3.0593 (adv=0.8642, cycle=0.1542, id=0.1187, sky=0.0592)
[11/200] D=0.3649 G=3.0403 (adv=0.8800, cycle=0.1524, id=0.1152, sky=0.0609)
[11/200] D=0.4436 G=2.9783 (adv=0.8180, cycle=0.1513, id=0.1173, sky=0.0611)
[12/200] D=0.3755 G=2.8618 (adv=0.8092, cycle=0.1438, id=0.1110, sky=0.0593)
[13/200] D=0.3795 G=2.9095 (adv=0.8442, cycle=0.1456, id=0.1100, sky=0.0600)
[14/200] D=0.3670 G=2.8404 (adv=0.8196, cycle=0.1423, id=0.1073, sky=0.0612)
[15/200] D=0.3711 G=2.8243 (adv=0.8109, cycle=0.1416, id=0.1077, sky=0.0592)
[16/200] D=0.3471 G=2.7996 (adv=0.8537, cycle=0.1374, id=0.1023, sky=0.0608)
[17/200] D=0.3622 G=2.7920 (adv=0.8682, cycle=0.1364, id=0.1002, sky=0.0584)
[18/200] D=0.3558 G=2.7988 (adv=0.8583, cycle=0.1379, id=0.1009, sky=0.0569)
[19/200] D=0.4500 G=2.6642 (adv=0.8062, cycle=0.1315, id=0.0969, sky=0.0582)
[20/200] D=0.3631 G=2.5660 (adv=0.7893, cycle=0.1255, id=0.0928, sky=0.0579)
[21/200] D=0.3730 G=2.6987 (adv=0.8751, cycle=0.1297, id=0.0938, sky=0.0579)
[22/200] D=0.4266 G=2.5744 (adv=0.7478, cycle=0.1286, id=0.0965, sky=0.0575)
[23/200] D=0.3673 G=2.5491 (adv=0.8029, cycle=0.1233, id=0.0910, sky=0.0579)
[24/200] D=0.3547 G=2.5660 (adv=0.8368, cycle=0.1233, id=0.0878, sky=0.0568)
[25/200] D=0.3877 G=2.5679 (adv=0.8195, cycle=0.1247, id=0.0887, sky=0.0578)
[26/200] D=0.3607 G=2.6067 (adv=0.8404, cycle=0.1263, id=0.0891, sky=0.0573)
[27/200] D=0.3660 G=2.6258 (adv=0.8450, cycle=0.1274, id=0.0896, sky=0.0589)
[28/200] D=0.3727 G=2.6301 (adv=0.8424, cycle=0.1281, id=0.0896, sky=0.0583)
[29/200] D=0.3725 G=2.6132 (adv=0.8368, cycle=0.1276, id=0.0887, sky=0.0566)
[21/200] D=0.3563 G=2.6805 (adv=0.8519, cycle=0.1297, id=0.0946, sky=0.0583)
[22/200] D=0.3550 G=2.6833 (adv=0.8477, cycle=0.1307, id=0.0943, sky=0.0572)
[23/200] D=0.3632 G=2.6364 (adv=0.8484, cycle=0.1274, id=0.0912, sky=0.0576)
[24/200] D=0.4548 G=2.7451 (adv=0.9361, cycle=0.1300, id=0.0905, sky=0.0565)
[25/200] D=0.4244 G=2.4209 (adv=0.7219, cycle=0.1195, id=0.0891, sky=0.0581)
[26/200] D=0.3964 G=2.4257 (adv=0.7442, cycle=0.1185, id=0.0877, sky=0.0575)
[27/200] D=0.3994 G=2.4818 (adv=0.7762, cycle=0.1210, id=0.0873, sky=0.0594)
[28/200] D=0.3818 G=2.4906 (adv=0.7907, cycle=0.1204, id=0.0875, sky=0.0587)
[29/200] D=0.3832 G=2.5387 (adv=0.8083, cycle=0.1234, id=0.0878, sky=0.0569)
[30/200] D=0.3748 G=2.5081 (adv=0.8133, cycle=0.1212, id=0.0853, sky=0.0567)
[31/200] D=0.3724 G=2.4824 (adv=0.8142, cycle=0.1199, id=0.0824, sky=0.0570)
[32/200] D=0.3779 G=2.4794 (adv=0.8225, cycle=0.1194, id=0.0809, sky=0.0580)
[33/200] D=0.3707 G=2.5507 (adv=0.8379, cycle=0.1239, id=0.0832, sky=0.0575)
[34/200] D=0.3665 G=2.6337 (adv=0.8813, cycle=0.1263, id=0.0863, sky=0.0574)
[35/200] D=0.4010 G=2.4723 (adv=0.7945, cycle=0.1203, id=0.0835, sky=0.0572)
[36/200] D=0.3731 G=2.4473 (adv=0.8038, cycle=0.1179, id=0.0813, sky=0.0582)
[37/200] D=0.3734 G=2.4637 (adv=0.8234, cycle=0.1180, id=0.0803, sky=0.0585)
[38/200] D=0.5874 G=2.5705 (adv=0.8810, cycle=0.1209, id=0.0845, sky=0.0579)
[39/200] D=0.4341 G=2.1862 (adv=0.6326, cycle=0.1097, id=0.0804, sky=0.0545)
[40/200] D=0.4213 G=2.1441 (adv=0.6583, cycle=0.1043, id=0.0774, sky=0.0555)
[41/200] D=0.4136 G=2.1600 (adv=0.6850, cycle=0.1044, id=0.0752, sky=0.0553)
[42/200] D=0.3973 G=2.2385 (adv=0.7230, cycle=0.1079, id=0.0762, sky=0.0561)
[43/200] D=0.3848 G=2.2674 (adv=0.7516, cycle=0.1080, id=0.0756, sky=0.0580)
[44/200] D=0.3814 G=2.3134 (adv=0.7805, cycle=0.1093, id=0.0768, sky=0.0559)
[45/200] D=0.3798 G=2.3641 (adv=0.7925, cycle=0.1136, id=0.0756, sky=0.0580)
[46/200] D=0.3683 G=2.4684 (adv=0.8352, cycle=0.1183, id=0.0788, sky=0.0565)
[47/200] D=0.3804 G=2.3141 (adv=0.8008, cycle=0.1092, id=0.0731, sky=0.0559)
[48/200] D=0.3808 G=2.3748 (adv=0.8067, cycle=0.1138, id=0.0746, sky=0.0576)
[49/200] D=0.3932 G=2.3324 (adv=0.8029, cycle=0.1102, id=0.0740, sky=0.0572)
[50/200] D=0.3778 G=2.4353 (adv=0.8354, cycle=0.1161, id=0.0764, sky=0.0572)
[51/200] D=0.3775 G=2.3518 (adv=0.8128, cycle=0.1113, id=0.0738, sky=0.0574)
[52/200] D=0.3903 G=2.3890 (adv=0.8291, cycle=0.1131, id=0.0747, sky=0.0558)
[53/200] D=0.4766 G=2.4251 (adv=0.8871, cycle=0.1110, id=0.0743, sky=0.0562)
[54/200] D=0.4069 G=2.2440 (adv=0.7455, cycle=0.1071, id=0.0743, sky=0.0559)
[55/200] D=0.3929 G=2.2258 (adv=0.7561, cycle=0.1053, id=0.0722, sky=0.0559)
[56/200] D=0.3841 G=2.3025 (adv=0.7875, cycle=0.1090, id=0.0736, sky=0.0571)
[57/200] D=0.3730 G=2.3092 (adv=0.8132, cycle=0.1079, id=0.0721, sky=0.0567)
[58/200] D=0.3724 G=2.3147 (adv=0.8059, cycle=0.1082, id=0.0739, sky=0.0577)
[59/200] D=0.3802 G=2.3335 (adv=0.8072, cycle=0.1113, id=0.0715, sky=0.0559)
[60/200] D=0.3779 G=2.3552 (adv=0.8229, cycle=0.1108, id=0.0735, sky=0.0565)
[61/200] D=0.4026 G=2.2995 (adv=0.8069, cycle=0.1078, id=0.0715, sky=0.0573)
[62/200] D=0.3781 G=2.3033 (adv=0.8158, cycle=0.1078, id=0.0707, sky=0.0567)
[63/200] D=0.3780 G=2.3690 (adv=0.8400, cycle=0.1110, id=0.0725, sky=0.0567)
[64/200] D=0.3808 G=2.3317 (adv=0.8353, cycle=0.1087, id=0.0707, sky=0.0560)
[65/200] D=0.3783 G=2.2997 (adv=0.8142, cycle=0.1076, id=0.0704, sky=0.0568)
[66/200] D=0.5179 G=2.3584 (adv=0.8575, cycle=0.1080, id=0.0729, sky=0.0565)
[67/200] D=0.4178 G=2.0693 (adv=0.6880, cycle=0.0983, id=0.0684, sky=0.0558)
[68/200] D=0.3885 G=2.1730 (adv=0.7557, cycle=0.1019, id=0.0685, sky=0.0559)
[69/200] D=0.3825 G=2.1911 (adv=0.7686, cycle=0.1029, id=0.0672, sky=0.0575)
[70/200] D=0.3849 G=2.2147 (adv=0.7834, cycle=0.1033, id=0.0685, sky=0.0560)
[71/200] D=0.3841 G=2.2403 (adv=0.8047, cycle=0.1036, id=0.0689, sky=0.0555)
[72/200] D=0.6864 G=2.7540 (adv=1.0626, cycle=0.1242, id=0.0783, sky=0.0582)
[73/200] D=0.4317 G=2.1366 (adv=0.7212, cycle=0.1010, id=0.0693, sky=0.0588)
[74/200] D=0.4241 G=2.1296 (adv=0.7271, cycle=0.1007, id=0.0680, sky=0.0552)
[75/200] D=0.4211 G=2.0610 (adv=0.7137, cycle=0.0959, id=0.0668, sky=0.0546)
[76/200] D=0.4241 G=2.0986 (adv=0.7400, cycle=0.0962, id=0.0679, sky=0.0570)
[77/200] D=0.4176 G=2.0556 (adv=0.7258, cycle=0.0948, id=0.0651, sky=0.0564)
[78/200] D=0.5538 G=2.2191 (adv=0.8379, cycle=0.0985, id=0.0679, sky=0.0564)
[79/200] D=0.4937 G=1.7744 (adv=0.5445, cycle=0.0854, id=0.0640, sky=0.0560)
[80/200] D=0.4745 G=1.7692 (adv=0.5630, cycle=0.0836, id=0.0630, sky=0.0558)
[81/200] D=0.4603 G=1.7869 (adv=0.5814, cycle=0.0838, id=0.0625, sky=0.0552)
[82/200] D=0.4473 G=1.8008 (adv=0.5981, cycle=0.0832, id=0.0630, sky=0.0552)
[83/200] D=0.4390 G=1.8499 (adv=0.6393, cycle=0.0843, id=0.0625, sky=0.0554)
[84/200] D=0.4185 G=1.9457 (adv=0.6794, cycle=0.0885, id=0.0650, sky=0.0565)
[85/200] D=0.4113 G=1.9796 (adv=0.7081, cycle=0.0897, id=0.0636, sky=0.0565)
[86/200] D=0.4072 G=2.0213 (adv=0.7275, cycle=0.0912, id=0.0653, sky=0.0550)
[87/200] D=0.4111 G=2.0300 (adv=0.7371, cycle=0.0922, id=0.0630, sky=0.0557)
[88/200] D=0.4010 G=2.0412 (adv=0.7418, cycle=0.0922, id=0.0643, sky=0.0562)
[89/200] D=0.4019 G=2.0689 (adv=0.7567, cycle=0.0936, id=0.0641, sky=0.0559)
[90/200] D=0.4081 G=2.1016 (adv=0.7659, cycle=0.0950, id=0.0658, sky=0.0567)
[91/200] D=0.3973 G=2.0493 (adv=0.7550, cycle=0.0925, id=0.0626, sky=0.0563)
[92/200] D=0.3970 G=2.1096 (adv=0.7887, cycle=0.0953, id=0.0625, sky=0.0551)
[93/200] D=0.3973 G=2.0465 (adv=0.7623, cycle=0.0924, id=0.0608, sky=0.0559)
[94/200] D=0.3938 G=2.1032 (adv=0.7868, cycle=0.0947, id=0.0628, sky=0.0556)
[95/200] D=0.4104 G=2.0840 (adv=0.7777, cycle=0.0937, id=0.0622, sky=0.0580)
[96/200] D=0.3972 G=2.1014 (adv=0.7780, cycle=0.0953, id=0.0626, sky=0.0579)
[97/200] D=0.3871 G=2.1070 (adv=0.7961, cycle=0.0947, id=0.0614, sky=0.0564)
[98/200] D=0.3885 G=2.1641 (adv=0.8126, cycle=0.0979, id=0.0628, sky=0.0588)
[99/200] D=0.3854 G=2.1792 (adv=0.8356, cycle=0.0969, id=0.0635, sky=0.0572)
[100/200] D=0.3882 G=2.1140 (adv=0.7985, cycle=0.0957, id=0.0606, sky=0.0556)
[101/200] D=0.3877 G=2.1487 (adv=0.8182, cycle=0.0963, id=0.0620, sky=0.0568)
[102/200] D=0.3837 G=2.1700 (adv=0.8186, cycle=0.0981, id=0.0626, sky=0.0574)
[103/200] D=0.3754 G=2.1802 (adv=0.8367, cycle=0.0976, id=0.0622, sky=0.0569)
[104/200] D=0.3960 G=2.1399 (adv=0.8136, cycle=0.0964, id=0.0612, sky=0.0565)
[105/200] D=0.3820 G=2.1039 (adv=0.7958, cycle=0.0950, id=0.0605, sky=0.0557)
[106/200] D=0.6623 G=2.4286 (adv=0.9882, cycle=0.1055, id=0.0658, sky=0.0568)
[107/200] D=0.4447 G=1.8605 (adv=0.6324, cycle=0.0868, id=0.0607, sky=0.0562)
[108/200] D=0.4380 G=1.8397 (adv=0.6437, cycle=0.0851, id=0.0578, sky=0.0557)
[109/200] D=0.4249 G=1.8417 (adv=0.6617, cycle=0.0844, id=0.0565, sky=0.0539)
[110/200] D=0.4105 G=1.9293 (adv=0.6979, cycle=0.0884, id=0.0584, sky=0.0561)
[111/200] D=0.3891 G=1.9501 (adv=0.7255, cycle=0.0880, id=0.0576, sky=0.0564)
[112/200] D=0.3820 G=2.0008 (adv=0.7526, cycle=0.0900, id=0.0584, sky=0.0561)
[113/200] D=0.3813 G=1.9958 (adv=0.7609, cycle=0.0892, id=0.0573, sky=0.0560)
[114/200] D=0.3794 G=2.0179 (adv=0.7741, cycle=0.0900, id=0.0576, sky=0.0557)
[115/200] D=0.3784 G=1.9950 (adv=0.7821, cycle=0.0878, id=0.0560, sky=0.0553)
[116/200] D=0.3813 G=2.0481 (adv=0.7901, cycle=0.0914, id=0.0574, sky=0.0573)
[117/200] D=0.3801 G=2.0155 (adv=0.7917, cycle=0.0889, id=0.0560, sky=0.0551)
[118/200] D=0.3807 G=2.0188 (adv=0.7924, cycle=0.0896, id=0.0551, sky=0.0552)
[119/200] D=0.3812 G=2.0388 (adv=0.8013, cycle=0.0899, id=0.0564, sky=0.0563)
[120/200] D=0.3831 G=2.0277 (adv=0.8127, cycle=0.0883, id=0.0551, sky=0.0568)
[121/200] D=0.3723 G=2.0741 (adv=0.8168, cycle=0.0915, id=0.0570, sky=0.0573)
[122/200] D=0.3850 G=2.0464 (adv=0.8034, cycle=0.0905, id=0.0564, sky=0.0553)
[123/200] D=0.3794 G=2.0358 (adv=0.8095, cycle=0.0895, id=0.0548, sky=0.0577)
[124/200] D=0.3827 G=2.0321 (adv=0.8051, cycle=0.0893, id=0.0553, sky=0.0576)
