[1/200] D=0.4159 G=6.2713 (adv=0.8971, cycle=0.3647, id=0.3454)
[2/200] D=0.3297 G=4.7489 (adv=0.9614, cycle=0.2575, id=0.2424)
[3/200] D=0.3722 G=4.4474 (adv=1.0744, cycle=0.2338, id=0.2070)
[4/200] D=0.3061 G=4.0843 (adv=0.9694, cycle=0.2177, id=0.1875)
[5/200] D=0.3042 G=4.0585 (adv=1.0642, cycle=0.2115, id=0.1758)
[6/200] D=0.2566 G=4.0582 (adv=1.1531, cycle=0.2076, id=0.1658)
[7/200] D=0.2674 G=4.1241 (adv=1.2026, cycle=0.2111, id=0.1620)
[8/200] D=0.2541 G=4.0204 (adv=1.1866, cycle=0.2059, id=0.1551)
[9/200] D=0.2452 G=4.0246 (adv=1.2428, cycle=0.2036, id=0.1491)
[10/200] D=0.2599 G=3.9856 (adv=1.2432, cycle=0.2021, id=0.1444)
[11/200] D=0.2379 G=3.8630 (adv=1.2015, cycle=0.1961, id=0.1402)
[12/200] D=0.2328 G=3.9665 (adv=1.2694, cycle=0.1996, id=0.1402)
[13/200] D=0.2379 G=3.9256 (adv=1.2741, cycle=0.1971, id=0.1361)
[14/200] D=0.4963 G=3.8897 (adv=1.2991, cycle=0.1920, id=0.1342)
[15/200] D=0.3916 G=2.9162 (adv=0.7158, cycle=0.1588, id=0.1224)
[16/200] D=0.2747 G=3.4111 (adv=1.0296, cycle=0.1757, id=0.1249)
[17/200] D=0.2571 G=3.5927 (adv=1.1457, cycle=0.1823, id=0.1248)
[18/200] D=0.2588 G=3.6430 (adv=1.1720, cycle=0.1848, id=0.1245)
[19/200] D=0.2503 G=3.6929 (adv=1.1986, cycle=0.1875, id=0.1239)
[20/200] D=0.2529 G=3.7062 (adv=1.2128, cycle=0.1874, id=0.1238)
[21/200] D=0.2686 G=3.7068 (adv=1.1925, cycle=0.1900, id=0.1228)
[22/200] D=0.2935 G=3.6285 (adv=1.1474, cycle=0.1868, id=0.1227)
[23/200] D=0.2741 G=3.7057 (adv=1.1840, cycle=0.1908, id=0.1228)
[24/200] D=0.2833 G=3.6452 (adv=1.1719, cycle=0.1878, id=0.1190)
[25/200] D=0.2820 G=3.6273 (adv=1.1656, cycle=0.1865, id=0.1193)
[26/200] D=0.2891 G=3.5933 (adv=1.1528, cycle=0.1851, id=0.1179)
[27/200] D=0.2834 G=3.6124 (adv=1.1779, cycle=0.1842, id=0.1186)
[28/200] D=0.2878 G=3.5522 (adv=1.1577, cycle=0.1817, id=0.1155)
[29/200] D=0.2814 G=3.5123 (adv=1.1654, cycle=0.1776, id=0.1141)
[30/200] D=0.4408 G=3.5944 (adv=1.1989, cycle=0.1814, id=0.1163)
[31/200] D=0.4053 G=2.8381 (adv=0.7574, cycle=0.1543, id=0.1076)
[32/200] D=0.3779 G=2.8328 (adv=0.7970, cycle=0.1510, id=0.1052)
[33/200] D=0.3542 G=2.9143 (adv=0.8590, cycle=0.1536, id=0.1040)
[34/200] D=0.3946 G=3.0098 (adv=0.9211, cycle=0.1563, id=0.1051)
[35/200] D=0.3074 G=3.1440 (adv=0.9881, cycle=0.1621, id=0.1069)
[36/200] D=0.3126 G=3.2027 (adv=1.0287, cycle=0.1637, id=0.1074)
[37/200] D=0.2910 G=3.3254 (adv=1.1013, cycle=0.1685, id=0.1077)
[38/200] D=0.2906 G=3.3605 (adv=1.1152, cycle=0.1708, id=0.1075)
[39/200] D=0.2921 G=3.3105 (adv=1.1148, cycle=0.1665, id=0.1062)
[40/200] D=0.2864 G=3.3790 (adv=1.1464, cycle=0.1693, id=0.1080)
[41/200] D=0.2829 G=3.3065 (adv=1.1166, cycle=0.1659, id=0.1061)
[42/200] D=0.2845 G=3.3119 (adv=1.1460, cycle=0.1646, id=0.1040)
[43/200] D=0.2907 G=3.3075 (adv=1.1564, cycle=0.1630, id=0.1043)
[44/200] D=0.2836 G=3.3002 (adv=1.1332, cycle=0.1643, id=0.1048)
[45/200] D=0.8363 G=4.3418 (adv=1.5017, cycle=0.2111, id=0.1458)
[46/200] D=0.2773 G=3.2914 (adv=0.8860, cycle=0.1766, id=0.1279)
[47/200] D=0.2911 G=3.2023 (adv=0.9679, cycle=0.1685, id=0.1099)
[48/200] D=0.2882 G=3.2256 (adv=1.0456, cycle=0.1646, id=0.1067)
[49/200] D=0.2761 G=3.2364 (adv=1.0900, cycle=0.1630, id=0.1032)
[50/200] D=0.2762 G=3.1927 (adv=1.0969, cycle=0.1592, id=0.1007)
[51/200] D=0.2734 G=3.2783 (adv=1.1393, cycle=0.1628, id=0.1023)
[52/200] D=0.2757 G=3.2414 (adv=1.1377, cycle=0.1599, id=0.1010)
[53/200] D=0.5444 G=2.8986 (adv=0.9140, cycle=0.1491, id=0.0988)
[54/200] D=0.4084 G=2.5409 (adv=0.7203, cycle=0.1357, id=0.0928)
[55/200] D=0.4074 G=2.5459 (adv=0.7476, cycle=0.1338, id=0.0920)
[56/200] D=0.3965 G=2.5653 (adv=0.7703, cycle=0.1338, id=0.0913)
[57/200] D=0.3848 G=2.6006 (adv=0.7972, cycle=0.1348, id=0.0911)
[58/200] D=0.3722 G=2.6580 (adv=0.8484, cycle=0.1356, id=0.0906)
[59/200] D=0.6464 G=3.2836 (adv=1.1112, cycle=0.1637, id=0.1070)
[60/200] D=0.3898 G=2.7648 (adv=0.7881, cycle=0.1484, id=0.0986)
[61/200] D=0.3650 G=2.7660 (adv=0.8859, cycle=0.1403, id=0.0955)
[62/200] D=0.3452 G=2.7800 (adv=0.9316, cycle=0.1379, id=0.0938)
[63/200] D=0.3378 G=2.8662 (adv=0.9785, cycle=0.1414, id=0.0947)
[64/200] D=0.3338 G=2.9024 (adv=1.0000, cycle=0.1422, id=0.0960)
[65/200] D=0.3261 G=2.8996 (adv=1.0105, cycle=0.1416, id=0.0946)
[66/200] D=0.3201 G=2.9438 (adv=1.0327, cycle=0.1437, id=0.0948)
[67/200] D=0.3128 G=2.9715 (adv=1.0497, cycle=0.1442, id=0.0959)
[68/200] D=0.2941 G=3.0029 (adv=1.0770, cycle=0.1455, id=0.0941)
[69/200] D=0.2798 G=3.2102 (adv=1.1655, cycle=0.1554, id=0.0981)
[70/200] D=0.5057 G=3.3601 (adv=1.2846, cycle=0.1580, id=0.0991)
[71/200] D=0.4068 G=2.5119 (adv=0.7219, cycle=0.1338, id=0.0904)
[72/200] D=0.3810 G=2.5335 (adv=0.7768, cycle=0.1317, id=0.0880)
[73/200] D=0.3157 G=2.7580 (adv=0.9472, cycle=0.1369, id=0.0882)
[74/200] D=0.2866 G=2.9982 (adv=1.0774, cycle=0.1462, id=0.0918)
[75/200] D=0.2771 G=3.0998 (adv=1.1390, cycle=0.1491, id=0.0940)
[76/200] D=0.2812 G=3.0711 (adv=1.1381, cycle=0.1471, id=0.0924)
[77/200] D=0.2799 G=3.1409 (adv=1.1718, cycle=0.1496, id=0.0946)
[78/200] D=0.2810 G=3.0833 (adv=1.1427, cycle=0.1479, id=0.0923)
[79/200] D=0.2706 G=3.1562 (adv=1.1924, cycle=0.1501, id=0.0926)
[80/200] D=0.2713 G=3.1815 (adv=1.1887, cycle=0.1526, id=0.0934)
[81/200] D=0.2755 G=3.1304 (adv=1.1723, cycle=0.1494, id=0.0929)
[82/200] D=0.2758 G=3.1670 (adv=1.1994, cycle=0.1505, id=0.0925)
[83/200] D=0.6183 G=3.9849 (adv=1.4271, cycle=0.1951, id=0.1213)
[84/200] D=0.3193 G=2.9951 (adv=0.9976, cycle=0.1509, id=0.0978)
[85/200] D=0.3347 G=2.8676 (adv=1.0003, cycle=0.1406, id=0.0923)
[86/200] D=0.3383 G=2.7672 (adv=0.9863, cycle=0.1336, id=0.0889)
[87/200] D=0.3328 G=2.8131 (adv=1.0161, cycle=0.1348, id=0.0897)
[88/200] D=0.3231 G=2.8302 (adv=1.0164, cycle=0.1364, id=0.0899)
[89/200] D=0.5512 G=3.5243 (adv=1.2322, cycle=0.1706, id=0.1171)
[90/200] D=0.4074 G=2.4484 (adv=0.6446, cycle=0.1332, id=0.0943)
[91/200] D=0.3864 G=2.3781 (adv=0.7330, cycle=0.1224, id=0.0843)
[92/200] D=0.3433 G=2.5720 (adv=0.8713, cycle=0.1271, id=0.0860)
[93/200] D=0.3165 G=2.7405 (adv=0.9844, cycle=0.1323, id=0.0866)
[94/200] D=0.2994 G=2.8497 (adv=1.0563, cycle=0.1359, id=0.0868)
[95/200] D=0.2827 G=2.9770 (adv=1.1259, cycle=0.1408, id=0.0886)
[96/200] D=0.2730 G=3.0413 (adv=1.1425, cycle=0.1449, id=0.0900)
[97/200] D=0.2789 G=3.0440 (adv=1.1607, cycle=0.1439, id=0.0889)
[98/200] D=0.2778 G=3.0559 (adv=1.1828, cycle=0.1435, id=0.0877)
[99/200] D=0.2789 G=3.0141 (adv=1.1538, cycle=0.1420, id=0.0881)
[100/200] D=0.2726 G=3.0557 (adv=1.1824, cycle=0.1432, id=0.0883)
[101/200] D=0.2744 G=3.0643 (adv=1.1856, cycle=0.1434, id=0.0890)
[102/200] D=0.4049 G=2.7389 (adv=0.9633, cycle=0.1351, id=0.0850)
[103/200] D=0.2855 G=2.8640 (adv=1.0868, cycle=0.1356, id=0.0842)
