[1/200] D=0.4816 G=6.2872 (adv=0.9663, cycle=0.3194, id=0.2977)
[2/200] D=0.2675 G=5.0186 (adv=1.1534, cycle=0.2355, id=0.2079)
[3/200] D=0.2965 G=4.6243 (adv=1.1793, cycle=0.2103, id=0.1843)
[4/200] D=0.2337 G=4.5855 (adv=1.3147, cycle=0.2009, id=0.1720)
[5/200] D=0.2616 G=4.4808 (adv=1.3121, cycle=0.1963, id=0.1627)
[6/200] D=0.2760 G=4.4395 (adv=1.3683, cycle=0.1914, id=0.1548)
[7/200] D=0.2175 G=4.2041 (adv=1.3059, cycle=0.1820, id=0.1428)
[8/200] D=0.2099 G=4.3618 (adv=1.4246, cycle=0.1856, id=0.1419)
[9/200] D=0.2108 G=4.3139 (adv=1.4121, cycle=0.1847, id=0.1371)
[10/200] D=0.4162 G=3.8960 (adv=1.2167, cycle=0.1698, id=0.1284)
[11/200] D=0.3338 G=3.4624 (adv=1.0054, cycle=0.1551, id=0.1193)
[12/200] D=0.2947 G=3.6104 (adv=1.0897, cycle=0.1607, id=0.1184)
[13/200] D=0.2951 G=3.6946 (adv=1.1790, cycle=0.1611, id=0.1164)
[14/200] D=0.2477 G=3.8104 (adv=1.2625, cycle=0.1641, id=0.1158)
[15/200] D=0.5292 G=4.2190 (adv=1.5051, cycle=0.1761, id=0.1202)
[16/200] D=0.3319 G=3.3376 (adv=0.9994, cycle=0.1485, id=0.1113)
[17/200] D=0.3189 G=3.3518 (adv=1.0533, cycle=0.1465, id=0.1081)
[18/200] D=0.3129 G=3.4118 (adv=1.1018, cycle=0.1480, id=0.1068)
[19/200] D=0.3488 G=3.5432 (adv=1.1777, cycle=0.1522, id=0.1078)
[20/200] D=0.2969 G=3.3406 (adv=1.0529, cycle=0.1461, id=0.1068)
[21/200] D=0.3212 G=3.4377 (adv=1.1430, cycle=0.1477, id=0.1045)
[22/200] D=0.2658 G=3.5166 (adv=1.1701, cycle=0.1526, id=0.1030)
[23/200] D=0.5238 G=3.2201 (adv=0.9980, cycle=0.1430, id=0.1013)
[24/200] D=0.3415 G=2.9946 (adv=0.9428, cycle=0.1306, id=0.0969)
[25/200] D=0.3197 G=3.1928 (adv=1.0475, cycle=0.1382, id=0.0973)
[26/200] D=0.3077 G=3.3200 (adv=1.0914, cycle=0.1447, id=0.0985)
[27/200] D=0.2941 G=3.3740 (adv=1.1314, cycle=0.1461, id=0.0979)
[28/200] D=0.2887 G=3.4457 (adv=1.1572, cycle=0.1499, id=0.0979)
[29/200] D=0.2851 G=3.4684 (adv=1.1753, cycle=0.1506, id=0.0972)
[30/200] D=0.2788 G=3.4809 (adv=1.1872, cycle=0.1507, id=0.0970)
[31/200] D=0.2888 G=3.4499 (adv=1.2051, cycle=0.1474, id=0.0952)
[32/200] D=0.2685 G=3.4782 (adv=1.2041, cycle=0.1496, id=0.0957)
[33/200] D=0.2753 G=3.4636 (adv=1.2044, cycle=0.1488, id=0.0947)
[34/200] D=0.2735 G=3.4827 (adv=1.2157, cycle=0.1497, id=0.0942)
[35/200] D=0.2742 G=3.4548 (adv=1.2081, cycle=0.1481, id=0.0938)
[36/200] D=0.6973 G=3.1014 (adv=0.9581, cycle=0.1370, id=0.0998)
[37/200] D=0.4234 G=2.4739 (adv=0.6736, cycle=0.1148, id=0.0846)
[38/200] D=0.3835 G=2.6187 (adv=0.7852, cycle=0.1180, id=0.0835)
[39/200] D=0.3478 G=2.8341 (adv=0.8987, cycle=0.1261, id=0.0844)
[40/200] D=0.3105 G=3.0540 (adv=1.0483, cycle=0.1311, id=0.0865)
[41/200] D=0.2960 G=3.2506 (adv=1.1353, cycle=0.1395, id=0.0883)
[42/200] D=0.4295 G=3.1515 (adv=1.0951, cycle=0.1346, id=0.0883)
[43/200] D=0.3335 G=2.9326 (adv=1.0040, cycle=0.1253, id=0.0850)
[44/200] D=0.3079 G=3.0532 (adv=1.0611, cycle=0.1302, id=0.0860)
[45/200] D=0.6782 G=2.8824 (adv=0.9307, cycle=0.1261, id=0.0877)
[46/200] D=0.4027 G=2.5008 (adv=0.7464, cycle=0.1132, id=0.0792)
[47/200] D=0.3884 G=2.5736 (adv=0.7985, cycle=0.1153, id=0.0784)
[48/200] D=0.3602 G=2.7122 (adv=0.8867, cycle=0.1192, id=0.0790)
[49/200] D=0.3270 G=2.9228 (adv=1.0134, cycle=0.1253, id=0.0811)
[50/200] D=0.2967 G=3.0800 (adv=1.0869, cycle=0.1313, id=0.0835)
[51/200] D=0.4561 G=3.1384 (adv=1.1383, cycle=0.1317, id=0.0840)
[52/200] D=0.3460 G=2.8093 (adv=0.9546, cycle=0.1207, id=0.0813)
[53/200] D=0.3359 G=2.8407 (adv=0.9881, cycle=0.1209, id=0.0804)
[54/200] D=0.3139 G=2.9232 (adv=1.0326, cycle=0.1241, id=0.0804)
[55/200] D=0.5705 G=3.0071 (adv=0.9996, cycle=0.1317, id=0.0854)
[56/200] D=0.3888 G=2.5220 (adv=0.7675, cycle=0.1140, id=0.0773)
[57/200] D=0.3372 G=2.7127 (adv=0.9303, cycle=0.1168, id=0.0761)
[58/200] D=0.3078 G=2.9049 (adv=1.0485, cycle=0.1221, id=0.0783)
[59/200] D=0.3065 G=2.9679 (adv=1.0919, cycle=0.1237, id=0.0784)
[60/200] D=0.5719 G=3.3325 (adv=1.2191, cycle=0.1394, id=0.0882)
[61/200] D=0.3509 G=2.7425 (adv=0.9558, cycle=0.1166, id=0.0774)
[62/200] D=0.3479 G=2.7202 (adv=0.9707, cycle=0.1140, id=0.0763)
[63/200] D=0.3370 G=2.7825 (adv=0.9981, cycle=0.1164, id=0.0776)
[64/200] D=0.6077 G=2.5052 (adv=0.7840, cycle=0.1108, id=0.0783)
[65/200] D=0.3621 G=2.4663 (adv=0.8268, cycle=0.1061, id=0.0733)
[66/200] D=0.3192 G=2.7313 (adv=0.9846, cycle=0.1143, id=0.0749)
[67/200] D=0.3060 G=2.8458 (adv=1.0239, cycle=0.1200, id=0.0765)
[68/200] D=0.2922 G=2.9311 (adv=1.0889, cycle=0.1219, id=0.0758)
[69/200] D=0.2903 G=3.0280 (adv=1.1504, cycle=0.1243, id=0.0772)
[70/200] D=0.2861 G=3.0331 (adv=1.1544, cycle=0.1248, id=0.0762)
[71/200] D=0.2807 G=3.0795 (adv=1.1742, cycle=0.1265, id=0.0775)
[72/200] D=0.2862 G=3.1177 (adv=1.1967, cycle=0.1276, id=0.0780)
[73/200] D=0.2847 G=3.0492 (adv=1.1720, cycle=0.1248, id=0.0758)
[74/200] D=0.2766 G=3.1007 (adv=1.1918, cycle=0.1271, id=0.0767)
[75/200] D=0.2791 G=3.0645 (adv=1.1881, cycle=0.1249, id=0.0756)
[76/200] D=0.2788 G=3.0922 (adv=1.1971, cycle=0.1263, id=0.0760)
[77/200] D=0.2774 G=3.0911 (adv=1.2151, cycle=0.1248, id=0.0756)
[78/200] D=0.2666 G=3.1097 (adv=1.2119, cycle=0.1265, id=0.0759)
[79/200] D=0.6492 G=3.5093 (adv=1.5138, cycle=0.1328, id=0.0803)
[80/200] D=0.5359 G=3.1331 (adv=0.6562, cycle=0.1534, id=0.1271)
[81/200] D=0.4485 G=2.1953 (adv=0.6188, cycle=0.1012, id=0.0723)
[82/200] D=0.4280 G=2.1926 (adv=0.6626, cycle=0.0986, id=0.0694)
[83/200] D=0.3952 G=2.2996 (adv=0.7519, cycle=0.1003, id=0.0688)
[84/200] D=0.3280 G=2.5952 (adv=0.9319, cycle=0.1092, id=0.0707)
[85/200] D=0.2917 G=2.8269 (adv=1.0596, cycle=0.1170, id=0.0727)
[86/200] D=0.2745 G=2.9798 (adv=1.1486, cycle=0.1218, id=0.0738)
[87/200] D=0.2745 G=2.9579 (adv=1.1667, cycle=0.1192, id=0.0721)
[88/200] D=0.2570 G=3.1404 (adv=1.2471, cycle=0.1267, id=0.0747)
[89/200] D=0.2532 G=3.1343 (adv=1.2708, cycle=0.1245, id=0.0740)
[90/200] D=0.2438 G=3.1813 (adv=1.3076, cycle=0.1250, id=0.0748)
[91/200] D=0.2437 G=3.1270 (adv=1.3128, cycle=0.1212, id=0.0719)
[92/200] D=0.2376 G=3.1628 (adv=1.3210, cycle=0.1229, id=0.0734)
[93/200] D=0.2316 G=3.1729 (adv=1.3314, cycle=0.1230, id=0.0732)
[94/200] D=0.2279 G=3.2130 (adv=1.3698, cycle=0.1231, id=0.0732)
[95/200] D=0.2280 G=3.1455 (adv=1.3453, cycle=0.1201, id=0.0717)
[96/200] D=0.2223 G=3.1730 (adv=1.3672, cycle=0.1206, id=0.0718)
[97/200] D=0.2150 G=3.2007 (adv=1.3888, cycle=0.1209, id=0.0723)
[98/200] D=0.9472 G=5.2356 (adv=1.7822, cycle=0.2177, id=0.1681)
[99/200] D=0.3855 G=4.3269 (adv=1.3731, cycle=0.1889, id=0.1374)
[100/200] D=0.3528 G=2.8877 (adv=0.7833, cycle=0.1353, id=0.0962)
[101/200] D=0.3818 G=2.5554 (adv=0.7434, cycle=0.1173, id=0.0808)
[102/200] D=0.3413 G=2.5598 (adv=0.8421, cycle=0.1126, id=0.0733)
[103/200] D=0.2764 G=2.7405 (adv=1.0294, cycle=0.1131, id=0.0708)
[104/200] D=0.2337 G=2.9482 (adv=1.1993, cycle=0.1164, id=0.0704)
[105/200] D=0.2285 G=3.0238 (adv=1.2749, cycle=0.1166, id=0.0701)
[106/200] D=0.2173 G=3.0565 (adv=1.3038, cycle=0.1170, id=0.0698)
[107/200] D=0.2118 G=3.1034 (adv=1.3411, cycle=0.1174, id=0.0707)
[108/200] D=0.2095 G=3.1282 (adv=1.3615, cycle=0.1180, id=0.0701)
[109/200] D=0.2168 G=3.1095 (adv=1.3596, cycle=0.1170, id=0.0692)
[110/200] D=0.2150 G=3.1242 (adv=1.3792, cycle=0.1164, id=0.0695)
[111/200] D=0.2066 G=3.1455 (adv=1.3791, cycle=0.1182, id=0.0695)
[112/200] D=0.2110 G=3.0773 (adv=1.3695, cycle=0.1142, id=0.0675)
[113/200] D=0.4843 G=3.1787 (adv=1.2323, cycle=0.1297, id=0.0781)
[114/200] D=0.4059 G=2.3541 (adv=0.7799, cycle=0.1040, id=0.0653)
[115/200] D=0.4028 G=2.3101 (adv=0.7844, cycle=0.1009, id=0.0629)
[116/200] D=0.3900 G=2.3355 (adv=0.8115, cycle=0.1010, id=0.0625)
