[61/200] D=0.2849 G=3.1598 (adv=1.1487, cycle=0.1316, id=0.0805, sem=0.0294)
[62/200] D=0.2814 G=3.2480 (adv=1.1836, cycle=0.1356, id=0.0815, sem=0.0298)
[63/200] D=0.5090 G=3.3354 (adv=1.2611, cycle=0.1356, id=0.0836, sem=0.0288)
[64/200] D=0.3288 G=2.9011 (adv=1.0158, cycle=0.1217, id=0.0793, sem=0.0283)
[65/200] D=0.3179 G=2.8770 (adv=1.0163, cycle=0.1201, id=0.0783, sem=0.0285)
[66/200] D=0.3020 G=2.9631 (adv=1.0670, cycle=0.1228, id=0.0786, sem=0.0288)
[67/200] D=0.2719 G=3.0546 (adv=1.1201, cycle=0.1261, id=0.0783, sem=0.0293)
[68/200] D=0.2585 G=3.1975 (adv=1.2129, cycle=0.1300, id=0.0790, sem=0.0297)
[69/200] D=0.2496 G=3.2532 (adv=1.2560, cycle=0.1308, id=0.0794, sem=0.0300)
[70/200] D=0.2389 G=3.3648 (adv=1.3199, cycle=0.1339, id=0.0816, sem=0.0301)
[71/200] D=0.2383 G=3.3346 (adv=1.3175, cycle=0.1324, id=0.0798, sem=0.0301)
[72/200] D=0.2348 G=3.3039 (adv=1.3229, cycle=0.1301, id=0.0780, sem=0.0300)
[73/200] D=0.2352 G=3.2626 (adv=1.3240, cycle=0.1271, id=0.0766, sem=0.0299)
[74/200] D=0.5971 G=3.6308 (adv=1.3654, cycle=0.1471, id=0.0939, sem=0.0302)
[75/200] D=0.4205 G=2.5392 (adv=0.7510, cycle=0.1149, id=0.0761, sem=0.0288)
[76/200] D=0.6170 G=2.7183 (adv=0.9284, cycle=0.1156, id=0.0750, sem=0.0283)
[77/200] D=0.4630 G=2.2417 (adv=0.5932, cycle=0.1042, id=0.0745, sem=0.0255)
[78/200] D=0.4464 G=2.1482 (adv=0.6245, cycle=0.0958, id=0.0697, sem=0.0262)
[79/200] D=0.4320 G=2.2006 (adv=0.6665, cycle=0.0968, id=0.0692, sem=0.0269)
[80/200] D=0.3987 G=2.3610 (adv=0.7609, cycle=0.1017, id=0.0704, sem=0.0273)
[81/200] D=0.3464 G=2.5304 (adv=0.8687, cycle=0.1066, id=0.0709, sem=0.0281)
