[61/200] D=0.4723 G=2.2904 (adv=0.8484, cycle=0.1056, id=0.0656, sky=0.0578)
[62/200] D=0.3931 G=2.1611 (adv=0.7603, cycle=0.1025, id=0.0635, sky=0.0576)
[63/200] D=0.3812 G=2.2021 (adv=0.7977, cycle=0.1031, id=0.0631, sky=0.0577)
[64/200] D=0.8447 G=3.0146 (adv=1.1569, cycle=0.1374, id=0.0851, sky=0.0580)
[65/200] D=0.4015 G=2.1380 (adv=0.7463, cycle=0.1012, id=0.0645, sky=0.0577)
[66/200] D=0.4017 G=2.1284 (adv=0.7474, cycle=0.1006, id=0.0633, sky=0.0586)
[67/200] D=0.3869 G=2.1366 (adv=0.7718, cycle=0.0993, id=0.0627, sky=0.0586)
[68/200] D=0.3975 G=2.1515 (adv=0.7697, cycle=0.1012, id=0.0623, sky=0.0584)
[69/200] D=0.3972 G=2.1637 (adv=0.7946, cycle=0.1005, id=0.0613, sky=0.0578)
[70/200] D=0.4281 G=2.2112 (adv=0.8333, cycle=0.1012, id=0.0619, sky=0.0568)
[71/200] D=0.4068 G=2.0110 (adv=0.6986, cycle=0.0954, id=0.0602, sky=0.0571)
[72/200] D=0.3721 G=2.1348 (adv=0.7824, cycle=0.0996, id=0.0597, sky=0.0578)
[73/200] D=0.3622 G=2.2189 (adv=0.8365, cycle=0.1013, id=0.0622, sky=0.0581)
[74/200] D=0.3719 G=2.2125 (adv=0.8325, cycle=0.1017, id=0.0608, sky=0.0589)
[75/200] D=0.3724 G=2.2674 (adv=0.8511, cycle=0.1049, id=0.0618, sky=0.0587)
[76/200] D=0.4717 G=2.2678 (adv=0.8271, cycle=0.1054, id=0.0655, sky=0.0590)
[77/200] D=0.3800 G=2.0814 (adv=0.7607, cycle=0.0970, id=0.0589, sky=0.0567)
[78/200] D=0.3703 G=2.1851 (adv=0.8149, cycle=0.1010, id=0.0604, sky=0.0577)
[79/200] D=0.3658 G=2.2783 (adv=0.8446, cycle=0.1066, id=0.0619, sky=0.0578)
[80/200] D=0.3715 G=2.2028 (adv=0.8328, cycle=0.1012, id=0.0599, sky=0.0583)
[81/200] D=0.3760 G=2.2202 (adv=0.8523, cycle=0.1009, id=0.0602, sky=0.0577)
[82/200] D=0.3715 G=2.2300 (adv=0.8451, cycle=0.1031, id=0.0591, sky=0.0582)
[83/200] D=0.3782 G=2.2028 (adv=0.8483, cycle=0.1004, id=0.0583, sky=0.0590)
[84/200] D=0.3797 G=2.2323 (adv=0.8453, cycle=0.1030, id=0.0599, sky=0.0572)
[85/200] D=0.3749 G=2.1896 (adv=0.8425, cycle=0.0997, id=0.0586, sky=0.0576)
[86/200] D=0.3764 G=2.2214 (adv=0.8601, cycle=0.1009, id=0.0591, sky=0.0566)
[87/200] D=0.3759 G=2.2665 (adv=0.8645, cycle=0.1048, id=0.0590, sky=0.0587)
[88/200] D=0.3743 G=2.2094 (adv=0.8507, cycle=0.1011, id=0.0580, sky=0.0573)
[89/200] D=0.3748 G=2.2254 (adv=0.8638, cycle=0.1005, id=0.0598, sky=0.0570)
[90/200] D=0.3743 G=2.1996 (adv=0.8586, cycle=0.0998, id=0.0570, sky=0.0581)
[91/200] D=0.5262 G=2.1976 (adv=0.8337, cycle=0.1006, id=0.0601, sky=0.0575)
[92/200] D=0.3788 G=2.0694 (adv=0.7876, cycle=0.0947, id=0.0554, sky=0.0576)
[93/200] D=0.3653 G=2.1887 (adv=0.8411, cycle=0.0997, id=0.0585, sky=0.0582)
[94/200] D=0.3684 G=2.1740 (adv=0.8408, cycle=0.0991, id=0.0567, sky=0.0590)
[95/200] D=0.7529 G=2.9092 (adv=1.1021, cycle=0.1350, id=0.0797, sky=0.0583)
[96/200] D=0.4045 G=2.1233 (adv=0.7457, cycle=0.1016, id=0.0608, sky=0.0579)
[97/200] D=0.4127 G=2.0167 (adv=0.7452, cycle=0.0928, id=0.0569, sky=0.0592)
[98/200] D=0.6574 G=2.1751 (adv=0.7835, cycle=0.1022, id=0.0622, sky=0.0583)
[99/200] D=0.4571 G=1.7791 (adv=0.5879, cycle=0.0853, id=0.0560, sky=0.0584)
[100/200] D=0.4418 G=1.8016 (adv=0.6224, cycle=0.0846, id=0.0554, sky=0.0556)
[101/200] D=0.4211 G=1.8433 (adv=0.6735, cycle=0.0844, id=0.0538, sky=0.0568)
[102/200] D=0.3978 G=1.9432 (adv=0.7215, cycle=0.0891, id=0.0544, sky=0.0581)
[103/200] D=0.3858 G=2.0061 (adv=0.7584, cycle=0.0912, id=0.0557, sky=0.0574)
[104/200] D=0.3661 G=2.0558 (adv=0.7974, cycle=0.0924, id=0.0552, sky=0.0579)
[105/200] D=0.3625 G=2.0793 (adv=0.8164, cycle=0.0935, id=0.0543, sky=0.0564)
[106/200] D=0.3695 G=2.0918 (adv=0.8237, cycle=0.0938, id=0.0545, sky=0.0574)
[107/200] D=0.3688 G=2.1052 (adv=0.8351, cycle=0.0939, id=0.0546, sky=0.0581)
[108/200] D=0.3695 G=2.1469 (adv=0.8507, cycle=0.0963, id=0.0551, sky=0.0574)
[109/200] D=0.3736 G=2.1207 (adv=0.8401, cycle=0.0948, id=0.0548, sky=0.0584)
[110/200] D=0.3646 G=2.1291 (adv=0.8564, cycle=0.0948, id=0.0533, sky=0.0586)
[111/200] D=0.3714 G=2.1289 (adv=0.8498, cycle=0.0950, id=0.0542, sky=0.0578)
[112/200] D=0.3747 G=2.1172 (adv=0.8448, cycle=0.0945, id=0.0538, sky=0.0583)
[113/200] D=0.3683 G=2.1322 (adv=0.8548, cycle=0.0950, id=0.0542, sky=0.0568)
[114/200] D=0.3701 G=2.1312 (adv=0.8620, cycle=0.0944, id=0.0534, sky=0.0581)
[115/200] D=0.3745 G=2.1324 (adv=0.8519, cycle=0.0954, id=0.0538, sky=0.0574)
[116/200] D=0.3743 G=2.0984 (adv=0.8458, cycle=0.0934, id=0.0519, sky=0.0588)
[117/200] D=0.3680 G=2.1062 (adv=0.8654, cycle=0.0924, id=0.0515, sky=0.0587)
[118/200] D=0.3752 G=2.1163 (adv=0.8538, cycle=0.0942, id=0.0525, sky=0.0580)
[119/200] D=0.3734 G=2.0740 (adv=0.8369, cycle=0.0921, id=0.0515, sky=0.0583)
[120/200] D=0.4725 G=2.2314 (adv=0.9251, cycle=0.0981, id=0.0538, sky=0.0566)
[121/200] D=0.4332 G=1.8799 (adv=0.6799, cycle=0.0884, id=0.0519, sky=0.0566)
[122/200] D=0.3898 G=1.9423 (adv=0.7637, cycle=0.0872, id=0.0503, sky=0.0552)
[123/200] D=0.3744 G=1.9895 (adv=0.8020, cycle=0.0878, id=0.0505, sky=0.0572)
[124/200] D=0.3660 G=2.0332 (adv=0.8252, cycle=0.0898, id=0.0502, sky=0.0582)
[125/200] D=0.3712 G=2.0510 (adv=0.8371, cycle=0.0906, id=0.0500, sky=0.0574)
[126/200] D=0.3707 G=2.0488 (adv=0.8390, cycle=0.0902, id=0.0501, sky=0.0574)
