[61/300] D=0.2311 G=2.9837 (adv=1.4413, cycle=0.1153, id=0.0644, sem=0.0677)
[62/300] D=0.2447 G=2.6589 (adv=1.1895, cycle=0.1093, id=0.0622, sem=0.0653)
[63/300] D=0.4378 G=3.0800 (adv=1.5281, cycle=0.1159, id=0.0651, sem=0.0679)
[64/300] D=0.2557 G=2.6047 (adv=1.2181, cycle=0.1016, id=0.0610, sem=0.0662)
[65/300] D=0.2413 G=2.5840 (adv=1.2424, cycle=0.0976, id=0.0598, sem=0.0664)
[66/300] D=0.1905 G=2.7408 (adv=1.3493, cycle=0.1024, id=0.0601, sem=0.0670)
[67/300] D=0.3497 G=2.4981 (adv=1.0708, cycle=0.1053, id=0.0620, sem=0.0649)
[68/300] D=0.1892 G=2.7642 (adv=1.3563, cycle=0.1046, id=0.0596, sem=0.0636)
[69/300] D=0.3721 G=3.2164 (adv=1.5034, cycle=0.1278, id=0.0749, sem=0.0604)
[70/300] D=0.1802 G=2.7995 (adv=1.3076, cycle=0.1098, id=0.0662, sem=0.0630)
[71/300] D=0.1711 G=2.7869 (adv=1.3998, cycle=0.1028, id=0.0592, sem=0.0629)
[72/300] D=0.1738 G=2.8424 (adv=1.4488, cycle=0.1034, id=0.0592, sem=0.0634)
[73/300] D=0.1804 G=2.8404 (adv=1.4453, cycle=0.1036, id=0.0589, sem=0.0645)
[74/300] D=0.1800 G=2.8364 (adv=1.4486, cycle=0.1031, id=0.0585, sem=0.0646)
[75/300] D=0.1805 G=2.8502 (adv=1.4502, cycle=0.1040, id=0.0593, sem=0.0638)
[76/300] D=0.3226 G=2.6098 (adv=1.1665, cycle=0.1070, id=0.0620, sem=0.0632)
[77/300] D=0.3783 G=2.9079 (adv=1.3833, cycle=0.1135, id=0.0656, sem=0.0613)
[78/300] D=0.2390 G=2.5132 (adv=1.2184, cycle=0.0942, id=0.0585, sem=0.0608)
[79/300] D=0.1881 G=2.6505 (adv=1.3388, cycle=0.0963, id=0.0573, sem=0.0624)
[80/300] D=0.2478 G=2.6207 (adv=1.2527, cycle=0.1015, id=0.0582, sem=0.0623)
[81/300] D=0.2011 G=2.6933 (adv=1.3165, cycle=0.1023, id=0.0581, sem=0.0630)
[82/300] D=0.1768 G=2.8150 (adv=1.4510, cycle=0.1014, id=0.0575, sem=0.0631)
[83/300] D=0.1790 G=2.8338 (adv=1.4621, cycle=0.1020, id=0.0576, sem=0.0632)
[84/300] D=0.1799 G=2.8207 (adv=1.4531, cycle=0.1017, id=0.0575, sem=0.0635)
[85/300] D=0.1797 G=2.8113 (adv=1.4521, cycle=0.1011, id=0.0571, sem=0.0626)
[86/300] D=0.3091 G=2.5947 (adv=1.1734, cycle=0.1049, id=0.0619, sem=0.0628)
[87/300] D=0.1773 G=2.8133 (adv=1.4458, cycle=0.1018, id=0.0573, sem=0.0630)
[88/300] D=0.1762 G=2.8493 (adv=1.4556, cycle=0.1038, id=0.0583, sem=0.0639)
[89/300] D=0.1747 G=2.7929 (adv=1.4511, cycle=0.0996, id=0.0567, sem=0.0627)
[90/300] D=0.2157 G=2.7234 (adv=1.3754, cycle=0.1001, id=0.0569, sem=0.0622)
[91/300] D=0.1750 G=2.7867 (adv=1.4333, cycle=0.1007, id=0.0568, sem=0.0628)
[92/300] D=0.3494 G=2.8570 (adv=1.4562, cycle=0.1046, id=0.0586, sem=0.0623)
[93/300] D=0.2241 G=2.5310 (adv=1.2715, cycle=0.0921, id=0.0555, sem=0.0614)
[94/300] D=0.1738 G=2.6977 (adv=1.3884, cycle=0.0967, id=0.0559, sem=0.0629)
[95/300] D=0.1687 G=2.7805 (adv=1.4478, cycle=0.0989, id=0.0563, sem=0.0624)
[96/300] D=0.1746 G=2.7742 (adv=1.4562, cycle=0.0977, id=0.0557, sem=0.0623)
[97/300] D=0.1758 G=2.7874 (adv=1.4684, cycle=0.0980, id=0.0554, sem=0.0625)
[98/300] D=0.1740 G=2.7883 (adv=1.4651, cycle=0.0983, id=0.0556, sem=0.0620)
[99/300] D=0.2584 G=2.5905 (adv=1.2607, cycle=0.0987, id=0.0563, sem=0.0617)
