[61/300] D=0.2447 G=2.5394 (adv=1.2744, cycle=0.0939, id=0.0549, sem=0.0515)
[62/300] D=0.1951 G=2.5894 (adv=1.3300, cycle=0.0936, id=0.0543, sem=0.0515)
[63/300] D=0.1892 G=2.6810 (adv=1.4089, cycle=0.0945, id=0.0552, sem=0.0513)
[64/300] D=0.4486 G=3.4240 (adv=1.6077, cycle=0.1337, id=0.0861, sem=0.0491)
[65/300] D=0.1771 G=2.9203 (adv=1.3003, cycle=0.1168, id=0.0817, sem=0.0437)
[66/300] D=0.1724 G=2.6479 (adv=1.3408, cycle=0.0952, id=0.0619, sem=0.0454)
[67/300] D=0.2266 G=2.5891 (adv=1.2563, cycle=0.0989, id=0.0590, sem=0.0493)
[68/300] D=0.1900 G=2.4809 (adv=1.2398, cycle=0.0920, id=0.0541, sem=0.0502)
[69/300] D=0.1853 G=2.6105 (adv=1.3707, cycle=0.0924, id=0.0531, sem=0.0508)
[70/300] D=0.1895 G=2.6370 (adv=1.3933, cycle=0.0928, id=0.0530, sem=0.0509)
[71/300] D=0.6626 G=3.5209 (adv=1.5823, cycle=0.1384, id=0.1018, sem=0.0453)
[72/300] D=0.1656 G=2.7048 (adv=1.3245, cycle=0.1001, id=0.0659, sem=0.0495)
[73/300] D=0.1647 G=2.6526 (adv=1.3736, cycle=0.0938, id=0.0580, sem=0.0516)
[74/300] D=0.1805 G=2.6324 (adv=1.3812, cycle=0.0926, id=0.0549, sem=0.0513)
[75/300] D=0.1823 G=2.6501 (adv=1.4051, cycle=0.0927, id=0.0534, sem=0.0513)
[76/300] D=0.2807 G=2.4873 (adv=1.2484, cycle=0.0922, id=0.0530, sem=0.0514)
[77/300] D=0.2250 G=2.4413 (adv=1.2133, cycle=0.0915, id=0.0524, sem=0.0507)
[78/300] D=0.4220 G=3.0944 (adv=1.6446, cycle=0.1070, id=0.0661, sem=0.0488)
[79/300] D=0.1852 G=2.8442 (adv=1.2968, cycle=0.1128, id=0.0751, sem=0.0440)
[80/300] D=0.2114 G=2.5118 (adv=1.2673, cycle=0.0913, id=0.0572, sem=0.0459)
[81/300] D=0.1874 G=2.5006 (adv=1.3124, cycle=0.0875, id=0.0527, sem=0.0495)
[82/300] D=0.1817 G=2.5159 (adv=1.3357, cycle=0.0874, id=0.0510, sem=0.0509)
[83/300] D=0.1863 G=2.5298 (adv=1.3551, cycle=0.0874, id=0.0500, sem=0.0509)
[84/300] D=0.1862 G=2.5756 (adv=1.3950, cycle=0.0881, id=0.0499, sem=0.0505)
[85/300] D=0.1879 G=2.6047 (adv=1.4111, cycle=0.0891, id=0.0503, sem=0.0507)
[86/300] D=0.2188 G=2.5127 (adv=1.3308, cycle=0.0882, id=0.0498, sem=0.0509)
[87/300] D=0.1895 G=2.5926 (adv=1.4111, cycle=0.0883, id=0.0496, sem=0.0505)
[88/300] D=0.1870 G=2.6073 (adv=1.4232, cycle=0.0886, id=0.0494, sem=0.0510)
[89/300] D=0.5529 G=3.1689 (adv=1.6459, cycle=0.1125, id=0.0699, sem=0.0485)
[90/300] D=0.2377 G=2.4095 (adv=1.2043, cycle=0.0883, id=0.0549, sem=0.0477)
[91/300] D=0.2455 G=2.3290 (adv=1.2359, cycle=0.0800, id=0.0489, sem=0.0487)
[92/300] D=0.2265 G=2.3540 (adv=1.2662, cycle=0.0799, id=0.0479, sem=0.0491)
[93/300] D=0.1885 G=2.4646 (adv=1.3420, cycle=0.0833, id=0.0478, sem=0.0505)
[94/300] D=0.2444 G=2.3758 (adv=1.2296, cycle=0.0854, id=0.0484, sem=0.0503)
[95/300] D=0.1868 G=2.5187 (adv=1.3663, cycle=0.0863, id=0.0478, sem=0.0506)
[96/300] D=0.1865 G=2.5703 (adv=1.4089, cycle=0.0870, id=0.0481, sem=0.0507)
