[1/200] D=0.4413 G=5.7622 (adv=0.7617, cycle=0.3747, id=0.4180)
[2/200] D=0.4220 G=4.1729 (adv=0.6438, cycle=0.2662, id=0.2889)
[3/200] D=0.4255 G=3.8996 (adv=0.6729, cycle=0.2417, id=0.2699)
[4/200] D=0.4196 G=3.7670 (adv=0.7364, cycle=0.2274, id=0.2521)
[5/200] D=0.4068 G=3.6623 (adv=0.7361, cycle=0.2197, id=0.2429)
[6/200] D=0.4010 G=3.5837 (adv=0.7579, cycle=0.2129, id=0.2323)
[7/200] D=0.4029 G=3.5440 (adv=0.7606, cycle=0.2107, id=0.2255)
[8/200] D=0.3997 G=3.5298 (adv=0.7805, cycle=0.2082, id=0.2224)
[9/200] D=0.4151 G=3.4778 (adv=0.7859, cycle=0.2042, id=0.2168)
[10/200] D=0.3858 G=3.4749 (adv=0.7838, cycle=0.2042, id=0.2164)
[11/200] D=0.3947 G=3.3864 (adv=0.7856, cycle=0.1977, id=0.2078)
[12/200] D=0.3952 G=3.3817 (adv=0.8118, cycle=0.1948, id=0.2072)
[13/200] D=0.3728 G=3.3143 (adv=0.8081, cycle=0.1910, id=0.1987)
[14/200] D=0.3823 G=3.3899 (adv=0.8256, cycle=0.1953, id=0.2037)
[15/200] D=0.3854 G=3.2444 (adv=0.8079, cycle=0.1868, id=0.1896)
[16/200] D=0.3808 G=3.2957 (adv=0.8386, cycle=0.1885, id=0.1907)
[17/200] D=0.3766 G=3.2954 (adv=0.8382, cycle=0.1878, id=0.1930)
[18/200] D=0.4105 G=3.3251 (adv=0.8748, cycle=0.1875, id=0.1916)
[19/200] D=0.4973 G=3.1745 (adv=0.7892, cycle=0.1820, id=0.1884)
[20/200] D=0.4220 G=2.9184 (adv=0.6793, cycle=0.1717, id=0.1739)
[21/200] D=0.4052 G=3.0463 (adv=0.7369, cycle=0.1771, id=0.1795)
[22/200] D=0.3956 G=3.0855 (adv=0.7763, cycle=0.1777, id=0.1773)
[23/200] D=0.3843 G=3.0263 (adv=0.7938, cycle=0.1722, id=0.1702)
[24/200] D=0.3842 G=3.0092 (adv=0.8032, cycle=0.1699, id=0.1688)
[25/200] D=0.3809 G=3.0769 (adv=0.8246, cycle=0.1739, id=0.1713)
[26/200] D=0.3744 G=3.1539 (adv=0.8268, cycle=0.1804, id=0.1744)
[27/200] D=0.3773 G=3.0353 (adv=0.8429, cycle=0.1707, id=0.1618)
[28/200] D=0.3775 G=3.0930 (adv=0.8576, cycle=0.1729, id=0.1687)
[29/200] D=0.3679 G=3.1038 (adv=0.8525, cycle=0.1758, id=0.1645)
[30/200] D=0.3773 G=3.0579 (adv=0.8601, cycle=0.1707, id=0.1636)
[31/200] D=0.3746 G=2.9767 (adv=0.8527, cycle=0.1658, id=0.1553)
[32/200] D=0.3663 G=3.0694 (adv=0.8823, cycle=0.1706, id=0.1603)
[33/200] D=0.3672 G=3.0255 (adv=0.8710, cycle=0.1679, id=0.1584)
[34/200] D=0.3716 G=3.0248 (adv=0.8635, cycle=0.1684, id=0.1591)
[35/200] D=0.3717 G=3.0736 (adv=0.8794, cycle=0.1702, id=0.1640)
[36/200] D=0.3709 G=2.9842 (adv=0.8636, cycle=0.1652, id=0.1561)
[37/200] D=0.3746 G=3.0257 (adv=0.8682, cycle=0.1676, id=0.1605)
[38/200] D=0.3675 G=3.0290 (adv=0.8830, cycle=0.1679, id=0.1556)
[39/200] D=0.3761 G=2.9725 (adv=0.8750, cycle=0.1637, id=0.1534)
[40/200] D=0.3673 G=2.9978 (adv=0.8799, cycle=0.1659, id=0.1529)
[41/200] D=0.3697 G=2.9633 (adv=0.8753, cycle=0.1638, id=0.1500)
[42/200] D=0.3754 G=2.9862 (adv=0.8785, cycle=0.1645, id=0.1541)
[43/200] D=0.6255 G=3.1515 (adv=1.0020, cycle=0.1691, id=0.1529)
[44/200] D=0.4143 G=2.7123 (adv=0.7336, cycle=0.1542, id=0.1456)
[45/200] D=0.4035 G=2.7522 (adv=0.7500, cycle=0.1551, id=0.1503)
[46/200] D=0.3864 G=2.7900 (adv=0.7831, cycle=0.1547, id=0.1534)
[47/200] D=0.3801 G=2.8701 (adv=0.8236, cycle=0.1589, id=0.1524)
[48/200] D=0.3639 G=2.8794 (adv=0.8432, cycle=0.1581, id=0.1517)
[49/200] D=0.3621 G=2.9146 (adv=0.8536, cycle=0.1613, id=0.1494)
