[61/200] D=0.3971 G=2.7440 (adv=0.7868, cycle=0.1107, id=0.0885, sky=0.5400)
[62/200] D=0.3748 G=2.7245 (adv=0.8230, cycle=0.1085, id=0.0858, sky=0.5168)
[63/200] D=0.3701 G=2.7967 (adv=0.8461, cycle=0.1111, id=0.0872, sky=0.5347)
[64/200] D=0.3683 G=2.8226 (adv=0.8648, cycle=0.1123, id=0.0879, sky=0.5275)
[65/200] D=0.3677 G=2.7957 (adv=0.8707, cycle=0.1091, id=0.0845, sky=0.5378)
[66/200] D=0.3669 G=2.8438 (adv=0.8878, cycle=0.1118, id=0.0858, sky=0.5375)
[67/200] D=0.3695 G=2.8177 (adv=0.8812, cycle=0.1120, id=0.0857, sky=0.5169)
[68/200] D=0.3685 G=2.8861 (adv=0.8949, cycle=0.1143, id=0.0880, sky=0.5408)
[69/200] D=0.3668 G=2.8631 (adv=0.8855, cycle=0.1130, id=0.0857, sky=0.5475)
[70/200] D=0.3721 G=2.8061 (adv=0.8842, cycle=0.1097, id=0.0830, sky=0.5346)
[71/200] D=0.3709 G=2.8869 (adv=0.9001, cycle=0.1135, id=0.0880, sky=0.5435)
[72/200] D=0.3646 G=2.8567 (adv=0.8872, cycle=0.1121, id=0.0856, sky=0.5487)
[73/200] D=0.3705 G=2.8462 (adv=0.8881, cycle=0.1118, id=0.0849, sky=0.5434)
[74/200] D=0.3698 G=2.8294 (adv=0.8897, cycle=0.1109, id=0.0846, sky=0.5341)
[75/200] D=0.3689 G=2.8561 (adv=0.8943, cycle=0.1126, id=0.0852, sky=0.5382)
[76/200] D=0.3662 G=2.8502 (adv=0.9026, cycle=0.1105, id=0.0832, sky=0.5509)
[77/200] D=0.3706 G=2.7924 (adv=0.8771, cycle=0.1093, id=0.0832, sky=0.5310)
[78/200] D=0.7218 G=3.3976 (adv=1.0830, cycle=0.1371, id=0.1126, sky=0.5495)
[79/200] D=0.3893 G=2.7257 (adv=0.7734, cycle=0.1105, id=0.0861, sky=0.5455)
[80/200] D=0.3803 G=2.7058 (adv=0.8020, cycle=0.1073, id=0.0820, sky=0.5443)
[81/200] D=0.3716 G=2.7469 (adv=0.8310, cycle=0.1075, id=0.0822, sky=0.5538)
[82/200] D=0.4742 G=2.8253 (adv=0.9303, cycle=0.1078, id=0.0824, sky=0.5283)
[83/200] D=0.3956 G=2.5808 (adv=0.7648, cycle=0.1028, id=0.0822, sky=0.5004)
[84/200] D=0.3870 G=2.6384 (adv=0.7763, cycle=0.1049, id=0.0832, sky=0.5221)
[85/200] D=0.3754 G=2.6317 (adv=0.8118, cycle=0.1033, id=0.0792, sky=0.5091)
[86/200] D=0.3711 G=2.7020 (adv=0.8284, cycle=0.1046, id=0.0819, sky=0.5404)
[87/200] D=0.3671 G=2.7088 (adv=0.8524, cycle=0.1061, id=0.0800, sky=0.5153)
[88/200] D=0.3667 G=2.7442 (adv=0.8702, cycle=0.1063, id=0.0818, sky=0.5244)
[89/200] D=0.3653 G=2.7632 (adv=0.8739, cycle=0.1075, id=0.0802, sky=0.5338)
[90/200] D=0.3642 G=2.7581 (adv=0.8729, cycle=0.1064, id=0.0809, sky=0.5383)
[91/200] D=0.3684 G=2.7941 (adv=0.9010, cycle=0.1072, id=0.0822, sky=0.5340)
[92/200] D=0.3623 G=2.7822 (adv=0.8867, cycle=0.1073, id=0.0815, sky=0.5371)
[93/200] D=0.3612 G=2.8540 (adv=0.9090, cycle=0.1107, id=0.0820, sky=0.5515)
[94/200] D=0.3695 G=2.7638 (adv=0.8888, cycle=0.1072, id=0.0804, sky=0.5218)
[95/200] D=0.3617 G=2.7858 (adv=0.9008, cycle=0.1070, id=0.0802, sky=0.5339)
[96/200] D=0.3666 G=2.7478 (adv=0.8806, cycle=0.1053, id=0.0789, sky=0.5384)
[97/200] D=0.3690 G=2.7497 (adv=0.8862, cycle=0.1052, id=0.0776, sky=0.5393)
[98/200] D=0.3702 G=2.7402 (adv=0.8778, cycle=0.1056, id=0.0795, sky=0.5275)
[99/200] D=0.3653 G=2.7620 (adv=0.8922, cycle=0.1060, id=0.0785, sky=0.5349)
[100/200] D=0.6245 G=3.0059 (adv=1.0126, cycle=0.1174, id=0.0870, sky=0.5151)
[101/200] D=0.4017 G=2.5725 (adv=0.7816, cycle=0.0995, id=0.0767, sky=0.5270)
[102/200] D=0.3930 G=2.5716 (adv=0.7979, cycle=0.0981, id=0.0760, sky=0.5267)
[103/200] D=0.6188 G=2.9536 (adv=0.9711, cycle=0.1156, id=0.0890, sky=0.5147)
[104/200] D=0.4039 G=2.6069 (adv=0.7209, cycle=0.1064, id=0.0868, sky=0.5184)
[105/200] D=0.3984 G=2.5637 (adv=0.7247, cycle=0.1017, id=0.0795, sky=0.5436)
[106/200] D=0.3997 G=2.5204 (adv=0.7423, cycle=0.0987, id=0.0762, sky=0.5250)
[107/200] D=0.3921 G=2.5433 (adv=0.7569, cycle=0.0987, id=0.0768, sky=0.5301)
[108/200] D=0.3830 G=2.5614 (adv=0.7742, cycle=0.0989, id=0.0761, sky=0.5321)
[109/200] D=0.3821 G=2.5826 (adv=0.7939, cycle=0.0981, id=0.0756, sky=0.5432)
