[1/200] D=0.4338 G=4.7485 (adv=0.7215, cycle=0.2993, id=0.2954)
[2/200] D=0.4040 G=3.5585 (adv=0.7039, cycle=0.2110, id=0.2127)
[3/200] D=0.4106 G=3.2556 (adv=0.7311, cycle=0.1876, id=0.1854)
[4/200] D=0.4055 G=3.1217 (adv=0.7677, cycle=0.1752, id=0.1719)
[5/200] D=0.4149 G=2.9505 (adv=0.7734, cycle=0.1619, id=0.1596)
[6/200] D=0.3907 G=2.8982 (adv=0.7918, cycle=0.1580, id=0.1505)
[7/200] D=0.3934 G=2.8707 (adv=0.7897, cycle=0.1570, id=0.1460)
[8/200] D=0.3958 G=2.8362 (adv=0.7898, cycle=0.1545, id=0.1433)
[9/200] D=0.4308 G=2.7735 (adv=0.7852, cycle=0.1506, id=0.1378)
[10/200] D=0.3969 G=2.6433 (adv=0.7660, cycle=0.1423, id=0.1299)
[11/200] D=0.3856 G=2.6727 (adv=0.7999, cycle=0.1429, id=0.1267)
[12/200] D=0.3885 G=2.7246 (adv=0.8232, cycle=0.1446, id=0.1302)
[13/200] D=0.3873 G=2.6811 (adv=0.8166, cycle=0.1417, id=0.1278)
[14/200] D=0.3945 G=2.6837 (adv=0.8262, cycle=0.1415, id=0.1265)
[15/200] D=0.3879 G=2.6263 (adv=0.8106, cycle=0.1384, id=0.1234)
[16/200] D=0.3885 G=2.6140 (adv=0.8238, cycle=0.1369, id=0.1202)
[17/200] D=0.3938 G=2.5918 (adv=0.8239, cycle=0.1358, id=0.1173)
[18/200] D=0.4314 G=2.6330 (adv=0.8500, cycle=0.1367, id=0.1190)
[19/200] D=0.3905 G=2.5188 (adv=0.7754, cycle=0.1334, id=0.1169)
[20/200] D=0.3876 G=2.4939 (adv=0.8057, cycle=0.1302, id=0.1104)
[21/200] D=0.3900 G=2.5277 (adv=0.8178, cycle=0.1324, id=0.1102)
[22/200] D=0.3933 G=2.5405 (adv=0.8236, cycle=0.1327, id=0.1113)
[23/200] D=0.3906 G=2.6180 (adv=0.8263, cycle=0.1369, id=0.1208)
[24/200] D=0.3721 G=2.6795 (adv=0.8878, cycle=0.1395, id=0.1133)
[25/200] D=0.3880 G=2.5606 (adv=0.8508, cycle=0.1321, id=0.1111)
[26/200] D=0.3968 G=2.5204 (adv=0.8310, cycle=0.1309, id=0.1086)
[27/200] D=0.3939 G=2.4690 (adv=0.8215, cycle=0.1279, id=0.1052)
[28/200] D=0.3944 G=2.4785 (adv=0.8302, cycle=0.1278, id=0.1058)
[29/200] D=0.3918 G=2.4981 (adv=0.8375, cycle=0.1285, id=0.1073)
[30/200] D=0.3920 G=2.4306 (adv=0.8291, cycle=0.1246, id=0.1015)
[31/200] D=0.4019 G=2.4699 (adv=0.8399, cycle=0.1269, id=0.1032)
[32/200] D=0.3925 G=2.4255 (adv=0.8186, cycle=0.1254, id=0.1008)
[33/200] D=0.3939 G=2.4165 (adv=0.8283, cycle=0.1236, id=0.1005)
[34/200] D=0.3928 G=2.4686 (adv=0.8273, cycle=0.1279, id=0.1036)
[35/200] D=0.4005 G=2.4043 (adv=0.8169, cycle=0.1241, id=0.0991)
[36/200] D=0.3941 G=2.4459 (adv=0.8279, cycle=0.1258, id=0.1029)
[37/200] D=0.3956 G=2.4166 (adv=0.8306, cycle=0.1233, id=0.1007)
[38/200] D=0.3927 G=2.4374 (adv=0.8338, cycle=0.1253, id=0.1002)
[39/200] D=0.5152 G=2.4827 (adv=0.8837, cycle=0.1250, id=0.0996)
[40/200] D=0.4317 G=2.1948 (adv=0.6913, cycle=0.1161, id=0.0980)
[41/200] D=0.6570 G=3.1202 (adv=0.9373, cycle=0.1693, id=0.1400)
[42/200] D=0.4048 G=2.2858 (adv=0.6897, cycle=0.1236, id=0.1030)
[43/200] D=0.4003 G=2.2991 (adv=0.7308, cycle=0.1218, id=0.0999)
[44/200] D=0.4019 G=2.2473 (adv=0.7428, cycle=0.1173, id=0.0948)
[45/200] D=0.3939 G=2.3308 (adv=0.7766, cycle=0.1216, id=0.0966)
[46/200] D=0.3920 G=2.3339 (adv=0.7940, cycle=0.1203, id=0.0964)
[47/200] D=0.3916 G=2.3553 (adv=0.8008, cycle=0.1211, id=0.0982)
[48/200] D=0.3980 G=2.3263 (adv=0.7864, cycle=0.1202, id=0.0966)
[49/200] D=0.3950 G=2.3242 (adv=0.7989, cycle=0.1192, id=0.0952)
[50/200] D=0.3940 G=2.3273 (adv=0.8060, cycle=0.1186, id=0.0957)
[51/200] D=0.3961 G=2.3534 (adv=0.8208, cycle=0.1204, id=0.0939)
[52/200] D=0.3922 G=2.3298 (adv=0.8193, cycle=0.1185, id=0.0929)
[53/200] D=0.4014 G=2.3044 (adv=0.8112, cycle=0.1166, id=0.0934)
[54/200] D=0.3983 G=2.3114 (adv=0.8153, cycle=0.1176, id=0.0915)
[55/200] D=0.3973 G=2.3133 (adv=0.8257, cycle=0.1164, id=0.0925)
[56/200] D=0.3980 G=2.2929 (adv=0.8152, cycle=0.1160, id=0.0908)
[57/200] D=0.5531 G=2.4532 (adv=0.8880, cycle=0.1228, id=0.0963)
[58/200] D=0.4356 G=2.1379 (adv=0.6799, cycle=0.1130, id=0.0937)
[59/200] D=0.4303 G=2.0930 (adv=0.7048, cycle=0.1077, id=0.0888)
[60/200] D=0.4190 G=2.1323 (adv=0.7165, cycle=0.1099, id=0.0906)
[61/200] D=0.4175 G=2.1311 (adv=0.7352, cycle=0.1085, id=0.0888)
[62/200] D=0.4105 G=2.1386 (adv=0.7433, cycle=0.1089, id=0.0876)
