[1/200] D=0.4642 G=5.3705 (adv=0.7291, cycle=0.3464, id=0.3364)
[2/200] D=0.3970 G=3.4592 (adv=0.7597, cycle=0.2022, id=0.1936)
[3/200] D=0.3680 G=3.2181 (adv=0.7568, cycle=0.1844, id=0.1764)
[4/200] D=0.4316 G=3.1171 (adv=0.7966, cycle=0.1737, id=0.1669)
[5/200] D=0.3833 G=2.8738 (adv=0.7381, cycle=0.1604, id=0.1518)
[6/200] D=0.3697 G=2.9170 (adv=0.7840, cycle=0.1604, id=0.1510)
[7/200] D=0.3728 G=2.8334 (adv=0.7833, cycle=0.1554, id=0.1417)
[8/200] D=0.3873 G=2.7292 (adv=0.7856, cycle=0.1475, id=0.1339)
[9/200] D=0.3801 G=2.6806 (adv=0.7910, cycle=0.1442, id=0.1280)
[10/200] D=0.4397 G=2.6676 (adv=0.8155, cycle=0.1414, id=0.1251)
[11/200] D=0.4002 G=2.4704 (adv=0.7604, cycle=0.1303, id=0.1164)
[12/200] D=0.3805 G=2.5171 (adv=0.7896, cycle=0.1324, id=0.1153)
[13/200] D=0.4350 G=2.5446 (adv=0.8193, cycle=0.1325, id=0.1143)
[14/200] D=0.3771 G=2.4089 (adv=0.7710, cycle=0.1264, id=0.1067)
[15/200] D=0.3623 G=2.4568 (adv=0.7975, cycle=0.1286, id=0.1067)
[16/200] D=0.3666 G=2.4766 (adv=0.8181, cycle=0.1293, id=0.1044)
[17/200] D=0.3882 G=2.4555 (adv=0.8234, cycle=0.1274, id=0.1023)
[18/200] D=0.3682 G=2.6150 (adv=0.8654, cycle=0.1368, id=0.1090)
[19/200] D=0.3689 G=2.4308 (adv=0.8108, cycle=0.1271, id=0.0997)
[20/200] D=0.4799 G=2.4767 (adv=0.8397, cycle=0.1281, id=0.1018)
[21/200] D=0.3935 G=2.2091 (adv=0.7226, cycle=0.1162, id=0.0927)
[22/200] D=0.3744 G=2.2623 (adv=0.7810, cycle=0.1164, id=0.0907)
[23/200] D=0.3557 G=2.3806 (adv=0.8381, cycle=0.1218, id=0.0928)
[24/200] D=0.3667 G=2.3545 (adv=0.8378, cycle=0.1198, id=0.0911)
[25/200] D=0.3632 G=2.3451 (adv=0.8431, cycle=0.1190, id=0.0891)
[26/200] D=0.5400 G=2.5201 (adv=0.9053, cycle=0.1264, id=0.1002)
[27/200] D=0.4214 G=2.1727 (adv=0.7373, cycle=0.1122, id=0.0896)
[28/200] D=0.4110 G=2.0905 (adv=0.7355, cycle=0.1063, id=0.0835)
[29/200] D=0.4058 G=2.0989 (adv=0.7555, cycle=0.1055, id=0.0825)
[30/200] D=0.3982 G=2.1108 (adv=0.7631, cycle=0.1061, id=0.0819)
[31/200] D=0.3978 G=2.1587 (adv=0.7843, cycle=0.1087, id=0.0821)
[32/200] D=0.3923 G=2.1284 (adv=0.7731, cycle=0.1070, id=0.0814)
[33/200] D=0.6648 G=2.5490 (adv=0.8990, cycle=0.1296, id=0.1011)
[34/200] D=0.4284 G=1.9035 (adv=0.6425, cycle=0.0987, id=0.0783)
[35/200] D=0.4050 G=2.0139 (adv=0.7188, cycle=0.1019, id=0.0789)
[36/200] D=0.3765 G=2.0804 (adv=0.7648, cycle=0.1045, id=0.0772)
[37/200] D=0.3603 G=2.3068 (adv=0.8377, cycle=0.1170, id=0.0854)
[38/200] D=0.3634 G=2.2009 (adv=0.8227, cycle=0.1102, id=0.0788)
[39/200] D=0.3636 G=2.1713 (adv=0.8247, cycle=0.1076, id=0.0772)
[40/200] D=0.3709 G=2.2013 (adv=0.8318, cycle=0.1099, id=0.0774)
[41/200] D=0.3705 G=2.1774 (adv=0.8254, cycle=0.1082, id=0.0770)
[42/200] D=0.3800 G=2.1346 (adv=0.8100, cycle=0.1062, id=0.0750)
[43/200] D=0.3808 G=2.2194 (adv=0.8589, cycle=0.1094, id=0.0761)
[44/200] D=0.4623 G=2.1665 (adv=0.8402, cycle=0.1055, id=0.0776)
[45/200] D=0.3857 G=2.0848 (adv=0.7855, cycle=0.1039, id=0.0744)
[46/200] D=0.3690 G=2.1463 (adv=0.8163, cycle=0.1066, id=0.0755)
[47/200] D=0.4207 G=2.1601 (adv=0.8526, cycle=0.1051, id=0.0731)
[48/200] D=0.3863 G=2.0090 (adv=0.7494, cycle=0.1007, id=0.0722)
[49/200] D=0.3557 G=2.1701 (adv=0.8274, cycle=0.1084, id=0.0739)
[50/200] D=0.3692 G=2.1066 (adv=0.8148, cycle=0.1043, id=0.0710)
[51/200] D=0.3758 G=2.1282 (adv=0.8388, cycle=0.1044, id=0.0702)
[52/200] D=0.5062 G=2.3500 (adv=0.9082, cycle=0.1164, id=0.0794)
[53/200] D=0.4233 G=1.9492 (adv=0.6889, cycle=0.0997, id=0.0752)
[54/200] D=0.4236 G=1.8645 (adv=0.6719, cycle=0.0948, id=0.0699)
[55/200] D=0.4163 G=1.8713 (adv=0.7028, cycle=0.0933, id=0.0672)
[56/200] D=0.3946 G=1.9461 (adv=0.7500, cycle=0.0961, id=0.0672)
[57/200] D=0.3719 G=2.0678 (adv=0.8177, cycle=0.1011, id=0.0683)
[58/200] D=0.5504 G=2.4234 (adv=1.0661, cycle=0.1104, id=0.0723)
[59/200] D=0.4105 G=2.0764 (adv=0.7512, cycle=0.1064, id=0.0746)
[60/200] D=0.4202 G=1.8911 (adv=0.7232, cycle=0.0932, id=0.0674)
[61/200] D=0.4110 G=1.9158 (adv=0.7393, cycle=0.0941, id=0.0673)
[62/200] D=0.4123 G=1.8973 (adv=0.7441, cycle=0.0923, id=0.0657)
[63/200] D=0.4148 G=1.8438 (adv=0.7225, cycle=0.0897, id=0.0639)
[64/200] D=0.5391 G=2.1130 (adv=0.7870, cycle=0.1048, id=0.0796)
[65/200] D=0.4451 G=1.6793 (adv=0.5904, cycle=0.0853, id=0.0673)
[66/200] D=0.4136 G=1.7385 (adv=0.6632, cycle=0.0854, id=0.0631)
[67/200] D=0.3923 G=1.8304 (adv=0.7165, cycle=0.0894, id=0.0629)
[68/200] D=0.3920 G=1.8845 (adv=0.7475, cycle=0.0915, id=0.0633)
[69/200] D=0.3876 G=2.1183 (adv=0.8011, cycle=0.1056, id=0.0746)
[70/200] D=0.3600 G=2.1392 (adv=0.8331, cycle=0.1047, id=0.0739)
[71/200] D=0.3811 G=1.9888 (adv=0.7967, cycle=0.0966, id=0.0646)
[72/200] D=0.3756 G=2.0978 (adv=0.8378, cycle=0.1024, id=0.0673)
[73/200] D=0.3590 G=2.1097 (adv=0.8503, cycle=0.1027, id=0.0664)
[74/200] D=0.6458 G=2.3059 (adv=0.8532, cycle=0.1162, id=0.0829)
[75/200] D=0.4318 G=1.7531 (adv=0.6452, cycle=0.0884, id=0.0640)
[76/200] D=0.4288 G=1.7154 (adv=0.6632, cycle=0.0841, id=0.0603)
[77/200] D=0.4118 G=1.8002 (adv=0.7002, cycle=0.0882, id=0.0624)
[78/200] D=0.4059 G=1.8074 (adv=0.7220, cycle=0.0876, id=0.0598)
[79/200] D=0.3894 G=1.8637 (adv=0.7533, cycle=0.0900, id=0.0600)
[80/200] D=0.4487 G=2.0475 (adv=0.8574, cycle=0.0967, id=0.0638)
[81/200] D=0.4040 G=1.8114 (adv=0.7067, cycle=0.0892, id=0.0608)
[82/200] D=0.3903 G=1.8976 (adv=0.7534, cycle=0.0926, id=0.0623)
[83/200] D=0.3769 G=1.9419 (adv=0.8000, cycle=0.0930, id=0.0605)
[84/200] D=0.3468 G=2.0159 (adv=0.8359, cycle=0.0962, id=0.0623)
[85/200] D=0.3453 G=2.2659 (adv=0.8955, cycle=0.1125, id=0.0702)
[86/200] D=0.3547 G=2.1014 (adv=0.8692, cycle=0.1006, id=0.0647)
[87/200] D=0.3681 G=2.0191 (adv=0.8375, cycle=0.0969, id=0.0609)
[88/200] D=0.3779 G=1.9925 (adv=0.8239, cycle=0.0960, id=0.0597)
[89/200] D=0.5861 G=2.0773 (adv=0.8439, cycle=0.1007, id=0.0647)
[90/200] D=0.4330 G=1.7104 (adv=0.6621, cycle=0.0844, id=0.0584)
[91/200] D=0.4212 G=1.7435 (adv=0.6947, cycle=0.0849, id=0.0571)
[92/200] D=0.4167 G=1.7754 (adv=0.7116, cycle=0.0863, id=0.0574)
[93/200] D=0.3975 G=1.8148 (adv=0.7392, cycle=0.0877, id=0.0567)
[94/200] D=0.6397 G=2.2069 (adv=0.9448, cycle=0.1020, id=0.0692)
[95/200] D=0.4018 G=1.8841 (adv=0.7250, cycle=0.0943, id=0.0617)
[96/200] D=0.4028 G=1.7770 (adv=0.7123, cycle=0.0864, id=0.0573)
[97/200] D=0.4033 G=1.8098 (adv=0.7334, cycle=0.0874, id=0.0579)
[98/200] D=0.3954 G=1.8502 (adv=0.7554, cycle=0.0892, id=0.0579)
[99/200] D=0.3971 G=1.8169 (adv=0.7440, cycle=0.0876, id=0.0564)
[100/200] D=0.3945 G=1.8539 (adv=0.7710, cycle=0.0886, id=0.0562)
[101/200] D=0.3841 G=1.8835 (adv=0.7853, cycle=0.0901, id=0.0564)
[102/200] D=0.3846 G=1.8808 (adv=0.7889, cycle=0.0896, id=0.0560)
[103/200] D=0.3789 G=1.8944 (adv=0.8020, cycle=0.0899, id=0.0553)
[104/200] D=0.3797 G=1.9107 (adv=0.8023, cycle=0.0912, id=0.0561)
[105/200] D=0.3805 G=1.9353 (adv=0.8108, cycle=0.0928, id=0.0560)
[106/200] D=0.3796 G=1.9131 (adv=0.8132, cycle=0.0907, id=0.0550)
[107/200] D=0.3829 G=1.9003 (adv=0.8050, cycle=0.0905, id=0.0544)
[108/200] D=0.3973 G=1.9332 (adv=0.8218, cycle=0.0917, id=0.0556)
[109/200] D=0.3692 G=2.1048 (adv=0.8365, cycle=0.1039, id=0.0656)
[110/200] D=0.3811 G=1.9151 (adv=0.7940, cycle=0.0924, id=0.0564)
[111/200] D=0.3797 G=1.9629 (adv=0.8207, cycle=0.0943, id=0.0568)
[112/200] D=0.3814 G=1.9585 (adv=0.8282, cycle=0.0933, id=0.0565)
[113/200] D=0.3809 G=1.9105 (adv=0.8059, cycle=0.0915, id=0.0543)
[114/200] D=0.3795 G=1.9240 (adv=0.8212, cycle=0.0914, id=0.0540)
[115/200] D=0.3870 G=1.8911 (adv=0.8040, cycle=0.0900, id=0.0533)
[116/200] D=0.3832 G=1.9007 (adv=0.8161, cycle=0.0901, id=0.0524)
[117/200] D=0.3816 G=1.8940 (adv=0.8111, cycle=0.0898, id=0.0527)
[118/200] D=0.3879 G=1.8747 (adv=0.8044, cycle=0.0888, id=0.0522)
