[1/200] D=0.4715 G=4.6259 (adv=0.7003, cycle=0.2920, id=0.2874)
[2/200] D=0.4128 G=3.1169 (adv=0.7004, cycle=0.1790, id=0.1790)
[3/200] D=0.3752 G=2.9971 (adv=0.8000, cycle=0.1621, id=0.1645)
[4/200] D=0.3558 G=2.9585 (adv=0.8134, cycle=0.1593, id=0.1576)
[5/200] D=0.3917 G=2.7094 (adv=0.7337, cycle=0.1467, id=0.1454)
[6/200] D=0.4357 G=2.6732 (adv=0.7869, cycle=0.1402, id=0.1382)
[7/200] D=0.5001 G=2.4184 (adv=0.6919, cycle=0.1276, id=0.1288)
[8/200] D=0.3973 G=2.4233 (adv=0.7094, cycle=0.1273, id=0.1260)
[9/200] D=0.3916 G=2.4377 (adv=0.7528, cycle=0.1259, id=0.1218)
[10/200] D=0.3919 G=2.3920 (adv=0.7601, cycle=0.1228, id=0.1155)
[11/200] D=0.3816 G=2.5134 (adv=0.7966, cycle=0.1293, id=0.1212)
[12/200] D=0.3849 G=2.3967 (adv=0.7911, cycle=0.1213, id=0.1123)
[13/200] D=0.3824 G=2.3745 (adv=0.7892, cycle=0.1200, id=0.1102)
[14/200] D=0.3846 G=2.3563 (adv=0.8081, cycle=0.1173, id=0.1072)
[15/200] D=0.3751 G=2.4205 (adv=0.8322, cycle=0.1204, id=0.1097)
[16/200] D=0.3816 G=2.3488 (adv=0.8085, cycle=0.1173, id=0.1049)
[17/200] D=0.3837 G=2.3608 (adv=0.8198, cycle=0.1177, id=0.1039)
[18/200] D=0.3799 G=2.3336 (adv=0.8230, cycle=0.1153, id=0.1022)
[19/200] D=0.3915 G=2.2874 (adv=0.8037, cycle=0.1140, id=0.0981)
[20/200] D=0.5341 G=2.4165 (adv=0.8931, cycle=0.1163, id=0.1030)
[21/200] D=0.4102 G=2.0700 (adv=0.6835, cycle=0.1048, id=0.0967)
[22/200] D=0.3962 G=2.1229 (adv=0.7281, cycle=0.1068, id=0.0933)
[23/200] D=0.3893 G=2.1481 (adv=0.7574, cycle=0.1067, id=0.0925)
[24/200] D=0.3882 G=2.1777 (adv=0.7723, cycle=0.1083, id=0.0922)
[25/200] D=0.3890 G=2.1541 (adv=0.7785, cycle=0.1064, id=0.0892)
[26/200] D=0.3921 G=2.1624 (adv=0.7904, cycle=0.1062, id=0.0886)
[27/200] D=0.3926 G=2.1295 (adv=0.7878, cycle=0.1038, id=0.0869)
[28/200] D=0.3965 G=2.1360 (adv=0.7929, cycle=0.1041, id=0.0862)
[29/200] D=0.3942 G=2.1378 (adv=0.8028, cycle=0.1036, id=0.0853)
[30/200] D=0.3979 G=2.1337 (adv=0.7936, cycle=0.1042, id=0.0853)
[31/200] D=0.4268 G=2.0693 (adv=0.7837, cycle=0.0998, id=0.0821)
[32/200] D=0.3968 G=2.0479 (adv=0.7705, cycle=0.0994, id=0.0810)
[33/200] D=0.3951 G=2.1044 (adv=0.7926, cycle=0.1023, id=0.0824)
[34/200] D=0.3977 G=2.1051 (adv=0.7955, cycle=0.1025, id=0.0814)
[35/200] D=0.3943 G=2.0663 (adv=0.7881, cycle=0.0999, id=0.0797)
[36/200] D=0.4014 G=2.0681 (adv=0.7953, cycle=0.0996, id=0.0790)
[37/200] D=1.0894 G=2.8531 (adv=1.2096, cycle=0.1291, id=0.1008)
[38/200] D=0.4126 G=2.2541 (adv=0.7043, cycle=0.1180, id=0.1056)
[39/200] D=0.4354 G=1.9163 (adv=0.6580, cycle=0.0972, id=0.0819)
[40/200] D=0.4385 G=1.8499 (adv=0.6597, cycle=0.0919, id=0.0774)
[41/200] D=0.4346 G=1.8562 (adv=0.6692, cycle=0.0918, id=0.0770)
[42/200] D=0.4330 G=1.8148 (adv=0.6627, cycle=0.0891, id=0.0747)
[43/200] D=0.4227 G=1.8732 (adv=0.6910, cycle=0.0913, id=0.0770)
[44/200] D=0.4202 G=1.8307 (adv=0.6925, cycle=0.0882, id=0.0733)
[45/200] D=0.4130 G=1.8469 (adv=0.7106, cycle=0.0883, id=0.0724)
[46/200] D=0.4076 G=1.8613 (adv=0.7160, cycle=0.0889, id=0.0732)
[47/200] D=0.4059 G=1.8568 (adv=0.7323, cycle=0.0878, id=0.0703)
[48/200] D=0.4088 G=1.8762 (adv=0.7359, cycle=0.0892, id=0.0711)
[49/200] D=0.4892 G=2.0846 (adv=0.8593, cycle=0.0962, id=0.0751)
[50/200] D=0.4316 G=1.8491 (adv=0.6751, cycle=0.0913, id=0.0747)
[51/200] D=0.4224 G=1.7699 (adv=0.6783, cycle=0.0847, id=0.0700)
[52/200] D=0.4034 G=1.9152 (adv=0.7418, cycle=0.0914, id=0.0742)
[53/200] D=0.3936 G=1.8847 (adv=0.7463, cycle=0.0889, id=0.0713)
[54/200] D=0.3944 G=1.8526 (adv=0.7482, cycle=0.0866, id=0.0681)
[55/200] D=0.4550 G=1.8567 (adv=0.7501, cycle=0.0866, id=0.0689)
[56/200] D=0.3900 G=1.8285 (adv=0.7320, cycle=0.0862, id=0.0669)
