[1/200] D=0.4298 G=5.5268 (adv=1.0003, cycle=0.3294, id=0.3082)
[2/200] D=0.3993 G=4.2230 (adv=1.0451, cycle=0.2356, id=0.2055)
[3/200] D=0.3485 G=3.8772 (adv=1.0411, cycle=0.2110, id=0.1816)
[4/200] D=0.2909 G=3.8212 (adv=1.1241, cycle=0.2025, id=0.1680)
[5/200] D=0.3723 G=3.4666 (adv=0.9836, cycle=0.1860, id=0.1558)
[6/200] D=0.2635 G=3.7975 (adv=1.2180, cycle=0.1967, id=0.1532)
[7/200] D=0.3384 G=3.5471 (adv=1.1104, cycle=0.1863, id=0.1435)
[8/200] D=0.2803 G=3.5819 (adv=1.1729, cycle=0.1854, id=0.1386)
[9/200] D=0.2834 G=3.5814 (adv=1.1929, cycle=0.1850, id=0.1347)
[10/200] D=0.2867 G=3.5439 (adv=1.1922, cycle=0.1831, id=0.1302)
[11/200] D=0.2953 G=3.4102 (adv=1.1174, cycle=0.1790, id=0.1258)
[12/200] D=0.2931 G=3.4319 (adv=1.1465, cycle=0.1790, id=0.1239)
[13/200] D=0.3882 G=3.2180 (adv=1.0405, cycle=0.1699, id=0.1197)
[14/200] D=0.4795 G=2.7890 (adv=0.8550, cycle=0.1484, id=0.1125)
[15/200] D=0.3506 G=2.9150 (adv=0.9472, cycle=0.1527, id=0.1103)
[16/200] D=0.3268 G=3.0813 (adv=1.0344, cycle=0.1604, id=0.1108)
[17/200] D=0.2996 G=3.2021 (adv=1.1077, cycle=0.1649, id=0.1114)
[18/200] D=0.3059 G=3.2164 (adv=1.1273, cycle=0.1649, id=0.1101)
[19/200] D=0.3042 G=3.2014 (adv=1.1267, cycle=0.1642, id=0.1081)
[20/200] D=0.6098 G=2.7603 (adv=0.8270, cycle=0.1491, id=0.1106)
[21/200] D=0.3984 G=2.5137 (adv=0.7522, cycle=0.1363, id=0.0997)
[22/200] D=0.3635 G=2.6975 (adv=0.8791, cycle=0.1420, id=0.0995)
[23/200] D=0.3262 G=2.9212 (adv=1.0067, cycle=0.1513, id=0.1004)
[24/200] D=0.3139 G=3.0606 (adv=1.0844, cycle=0.1567, id=0.1023)
[25/200] D=0.3099 G=3.0202 (adv=1.0813, cycle=0.1537, id=0.1004)
[26/200] D=0.3132 G=3.0689 (adv=1.1054, cycle=0.1557, id=0.1016)
[27/200] D=0.3081 G=3.0795 (adv=1.1262, cycle=0.1554, id=0.0997)
[28/200] D=0.5409 G=3.1176 (adv=1.1766, cycle=0.1528, id=0.1033)
[29/200] D=0.4097 G=2.5043 (adv=0.8445, cycle=0.1284, id=0.0939)
[30/200] D=0.3564 G=2.6184 (adv=0.9168, cycle=0.1323, id=0.0947)
[31/200] D=0.4347 G=2.7188 (adv=0.9832, cycle=0.1350, id=0.0963)
[32/200] D=0.4660 G=2.1275 (adv=0.5952, cycle=0.1164, id=0.0920)
[33/200] D=0.4254 G=2.2180 (adv=0.7115, cycle=0.1155, id=0.0879)
[34/200] D=0.3652 G=2.4786 (adv=0.8688, cycle=0.1254, id=0.0891)
[35/200] D=0.3308 G=2.7079 (adv=0.9926, cycle=0.1347, id=0.0921)
[36/200] D=0.3185 G=2.7986 (adv=1.0403, cycle=0.1390, id=0.0922)
[37/200] D=0.3069 G=2.8845 (adv=1.1060, cycle=0.1411, id=0.0919)
[38/200] D=0.3065 G=2.9263 (adv=1.1122, cycle=0.1438, id=0.0941)
[39/200] D=0.3027 G=2.9111 (adv=1.1123, cycle=0.1429, id=0.0924)
[40/200] D=0.3010 G=2.9224 (adv=1.1394, cycle=0.1418, id=0.0913)
[41/200] D=0.2985 G=2.9511 (adv=1.1385, cycle=0.1441, id=0.0929)
[42/200] D=0.3007 G=2.9840 (adv=1.1430, cycle=0.1468, id=0.0933)
[43/200] D=0.2961 G=2.9279 (adv=1.1489, cycle=0.1416, id=0.0908)
[44/200] D=0.2938 G=2.9651 (adv=1.1756, cycle=0.1424, id=0.0913)
[45/200] D=0.6032 G=3.3709 (adv=1.4112, cycle=0.1548, id=0.1029)
[46/200] D=0.3259 G=3.1930 (adv=1.0303, cycle=0.1682, id=0.1201)
[47/200] D=0.6210 G=2.5103 (adv=0.8146, cycle=0.1307, id=0.0973)
[48/200] D=0.4749 G=1.9593 (adv=0.5689, cycle=0.1053, id=0.0843)
[49/200] D=0.4630 G=1.9391 (adv=0.6006, cycle=0.1016, id=0.0806)
[50/200] D=0.4530 G=1.9805 (adv=0.6404, cycle=0.1020, id=0.0801)
[51/200] D=0.4379 G=2.0245 (adv=0.6822, cycle=0.1027, id=0.0788)
[52/200] D=0.4255 G=2.1145 (adv=0.7275, cycle=0.1068, id=0.0797)
[53/200] D=0.4018 G=2.2345 (adv=0.7887, cycle=0.1123, id=0.0807)
[54/200] D=0.3595 G=2.4378 (adv=0.9101, cycle=0.1197, id=0.0826)
[55/200] D=0.3248 G=2.5952 (adv=1.0150, cycle=0.1248, id=0.0831)
[56/200] D=0.3101 G=2.6682 (adv=1.0605, cycle=0.1274, id=0.0835)
[57/200] D=0.2980 G=2.7810 (adv=1.1212, cycle=0.1320, id=0.0849)
[58/200] D=0.2985 G=2.7858 (adv=1.1249, cycle=0.1321, id=0.0849)
[59/200] D=0.2921 G=2.8039 (adv=1.1429, cycle=0.1326, id=0.0837)
[60/200] D=0.4503 G=2.8924 (adv=1.2048, cycle=0.1339, id=0.0871)
[61/200] D=0.4187 G=2.2108 (adv=0.7286, cycle=0.1166, id=0.0791)
[62/200] D=0.3777 G=2.3108 (adv=0.8322, cycle=0.1167, id=0.0779)
[63/200] D=0.3156 G=2.6108 (adv=1.0206, cycle=0.1265, id=0.0814)
[64/200] D=0.2881 G=2.7586 (adv=1.1255, cycle=0.1303, id=0.0826)
[65/200] D=0.2753 G=2.8241 (adv=1.1815, cycle=0.1312, id=0.0827)
[66/200] D=0.2671 G=2.8929 (adv=1.2283, cycle=0.1333, id=0.0829)
[67/200] D=0.8971 G=3.5258 (adv=1.3950, cycle=0.1671, id=0.1151)
[68/200] D=0.4146 G=2.2110 (adv=0.6551, cycle=0.1207, id=0.0873)
[69/200] D=0.3885 G=2.1859 (adv=0.7795, cycle=0.1094, id=0.0781)
[70/200] D=0.3452 G=2.3806 (adv=0.9602, cycle=0.1109, id=0.0779)
[71/200] D=0.3306 G=2.4676 (adv=1.0240, cycle=0.1126, id=0.0793)
[72/200] D=0.3236 G=2.5056 (adv=1.0601, cycle=0.1131, id=0.0786)
[73/200] D=0.3150 G=2.5357 (adv=1.0818, cycle=0.1138, id=0.0789)
[74/200] D=0.5551 G=2.3735 (adv=0.8900, cycle=0.1152, id=0.0828)
[75/200] D=0.4702 G=1.8269 (adv=0.5864, cycle=0.0947, id=0.0734)
[76/200] D=0.4551 G=1.8594 (adv=0.6217, cycle=0.0949, id=0.0721)
[77/200] D=0.4351 G=1.9533 (adv=0.6871, cycle=0.0978, id=0.0721)
[78/200] D=0.3601 G=2.2221 (adv=0.8678, cycle=0.1059, id=0.0738)
[79/200] D=0.2925 G=2.5670 (adv=1.0935, cycle=0.1165, id=0.0772)
[80/200] D=0.2708 G=2.6770 (adv=1.1836, cycle=0.1185, id=0.0771)
[81/200] D=0.2501 G=2.8152 (adv=1.2672, cycle=0.1235, id=0.0782)
[82/200] D=0.2423 G=2.8783 (adv=1.2826, cycle=0.1274, id=0.0804)
[83/200] D=0.2447 G=2.8403 (adv=1.2998, cycle=0.1232, id=0.0770)
[84/200] D=0.2390 G=2.8853 (adv=1.3135, cycle=0.1258, id=0.0783)
[85/200] D=0.2427 G=2.8849 (adv=1.3110, cycle=0.1257, id=0.0792)
[86/200] D=0.2333 G=2.8730 (adv=1.3202, cycle=0.1241, id=0.0780)
[87/200] D=0.2299 G=2.8877 (adv=1.3295, cycle=0.1247, id=0.0777)
[88/200] D=0.2376 G=2.8870 (adv=1.3340, cycle=0.1242, id=0.0778)
[89/200] D=0.2340 G=2.8969 (adv=1.3421, cycle=0.1244, id=0.0778)
[90/200] D=0.5793 G=3.7424 (adv=1.6010, cycle=0.1680, id=0.1154)
[91/200] D=0.2662 G=2.7654 (adv=1.1796, cycle=0.1244, id=0.0854)
[92/200] D=0.2809 G=2.5779 (adv=1.1646, cycle=0.1107, id=0.0766)
[93/200] D=0.2742 G=2.5961 (adv=1.1870, cycle=0.1101, id=0.0770)
[94/200] D=0.6767 G=2.2145 (adv=0.7549, cycle=0.1129, id=0.0827)
[95/200] D=0.4539 G=1.8135 (adv=0.5973, cycle=0.0936, id=0.0699)
[96/200] D=0.4350 G=1.8790 (adv=0.6478, cycle=0.0955, id=0.0690)
[97/200] D=0.3839 G=2.0540 (adv=0.7728, cycle=0.1003, id=0.0697)
[98/200] D=0.2798 G=2.4687 (adv=1.0794, cycle=0.1099, id=0.0726)
[99/200] D=0.2395 G=2.7012 (adv=1.2412, cycle=0.1165, id=0.0738)
[100/200] D=0.2483 G=2.7818 (adv=1.2884, cycle=0.1196, id=0.0743)
[101/200] D=0.2265 G=2.8188 (adv=1.3177, cycle=0.1202, id=0.0748)
[102/200] D=0.2295 G=2.8455 (adv=1.3334, cycle=0.1213, id=0.0749)
[103/200] D=0.2263 G=2.8567 (adv=1.3441, cycle=0.1214, id=0.0746)
[104/200] D=0.4227 G=3.4209 (adv=1.4863, cycle=0.1535, id=0.0999)
[105/200] D=0.3880 G=2.3607 (adv=0.7787, cycle=0.1243, id=0.0847)
[106/200] D=0.3960 G=2.1145 (adv=0.7642, cycle=0.1068, id=0.0705)
[107/200] D=0.3542 G=2.2193 (adv=0.8715, cycle=0.1071, id=0.0693)
[108/200] D=0.2901 G=2.4397 (adv=1.0498, cycle=0.1110, id=0.0699)
[109/200] D=0.2501 G=2.6653 (adv=1.2139, cycle=0.1162, id=0.0723)
[110/200] D=0.5315 G=3.1255 (adv=1.4364, cycle=0.1351, id=0.0845)
[111/200] D=0.2910 G=2.4628 (adv=1.1002, cycle=0.1073, id=0.0725)
[112/200] D=0.2781 G=2.4855 (adv=1.1387, cycle=0.1059, id=0.0719)
[113/200] D=0.2590 G=2.4824 (adv=1.1623, cycle=0.1039, id=0.0703)
[114/200] D=0.2428 G=2.5882 (adv=1.2065, cycle=0.1093, id=0.0723)
[115/200] D=0.3711 G=2.3875 (adv=1.0179, cycle=0.1084, id=0.0714)
[116/200] D=0.2257 G=2.6416 (adv=1.1868, cycle=0.1163, id=0.0730)
[117/200] D=0.2151 G=2.6799 (adv=1.2661, cycle=0.1132, id=0.0704)
[118/200] D=0.2250 G=2.8319 (adv=1.3009, cycle=0.1225, id=0.0766)
[119/200] D=0.2181 G=2.8180 (adv=1.3179, cycle=0.1204, id=0.0740)
[120/200] D=0.2223 G=2.7385 (adv=1.3171, cycle=0.1144, id=0.0694)
[121/200] D=0.2199 G=2.8410 (adv=1.3374, cycle=0.1209, id=0.0738)
[122/200] D=0.2187 G=2.8657 (adv=1.3357, cycle=0.1234, id=0.0740)
[123/200] D=0.2251 G=2.8096 (adv=1.3412, cycle=0.1181, id=0.0719)
[124/200] D=0.2180 G=2.7770 (adv=1.3366, cycle=0.1160, id=0.0700)
[125/200] D=0.2292 G=2.8530 (adv=1.3359, cycle=0.1223, id=0.0737)
