[61/200] D=0.3891 G=2.2261 (adv=0.8232, cycle=0.1070, id=0.0614, sem=0.0257)
[62/200] D=0.3809 G=2.1965 (adv=0.8134, cycle=0.1047, id=0.0618, sem=0.0268)
[63/200] D=0.3969 G=2.0821 (adv=0.7886, cycle=0.0978, id=0.0578, sem=0.0267)
[64/200] D=0.3983 G=2.0888 (adv=0.7929, cycle=0.0979, id=0.0582, sem=0.0261)
[65/200] D=0.5976 G=2.4281 (adv=0.9631, cycle=0.1112, id=0.0652, sem=0.0274)
[66/200] D=0.5511 G=1.9834 (adv=0.6019, cycle=0.1029, id=0.0660, sem=0.0227)
[67/200] D=0.4347 G=1.7780 (adv=0.6091, cycle=0.0865, id=0.0564, sem=0.0213)
[68/200] D=0.4205 G=1.8043 (adv=0.6545, cycle=0.0856, id=0.0543, sem=0.0225)
[69/200] D=0.4052 G=1.8398 (adv=0.6946, cycle=0.0856, id=0.0534, sem=0.0225)
[70/200] D=0.3901 G=1.9637 (adv=0.7347, cycle=0.0925, id=0.0558, sem=0.0246)
[71/200] D=0.3895 G=1.9508 (adv=0.7505, cycle=0.0903, id=0.0547, sem=0.0243)
[72/200] D=0.3911 G=1.9726 (adv=0.7580, cycle=0.0916, id=0.0549, sem=0.0245)
[73/200] D=0.3976 G=1.9946 (adv=0.7645, cycle=0.0930, id=0.0550, sem=0.0251)
[74/200] D=0.3974 G=2.0006 (adv=0.7843, cycle=0.0919, id=0.0544, sem=0.0249)
[75/200] D=0.3922 G=2.0492 (adv=0.8016, cycle=0.0949, id=0.0547, sem=0.0251)
[76/200] D=0.3872 G=2.0548 (adv=0.7934, cycle=0.0955, id=0.0561, sem=0.0259)
[77/200] D=0.3878 G=2.1430 (adv=0.8225, cycle=0.1004, id=0.0582, sem=0.0262)
[78/200] D=0.3990 G=2.0147 (adv=0.7846, cycle=0.0934, id=0.0540, sem=0.0255)
[79/200] D=0.3855 G=2.0831 (adv=0.8171, cycle=0.0963, id=0.0553, sem=0.0266)
[80/200] D=0.7024 G=2.6514 (adv=1.0679, cycle=0.1195, id=0.0725, sem=0.0259)
[81/200] D=0.4092 G=2.1037 (adv=0.7362, cycle=0.1034, id=0.0611, sem=0.0280)
[82/200] D=0.4006 G=2.1504 (adv=0.7442, cycle=0.1043, id=0.0669, sem=0.0288)
[83/200] D=0.5182 G=2.0157 (adv=0.7052, cycle=0.0988, id=0.0592, sem=0.0264)
[84/200] D=0.4059 G=1.7822 (adv=0.6594, cycle=0.0840, id=0.0515, sem=0.0253)
[85/200] D=0.3864 G=1.8965 (adv=0.7163, cycle=0.0888, id=0.0531, sem=0.0264)
[86/200] D=0.3847 G=1.9138 (adv=0.7393, cycle=0.0886, id=0.0524, sem=0.0267)
[87/200] D=0.3851 G=1.9120 (adv=0.7552, cycle=0.0875, id=0.0511, sem=0.0264)
[88/200] D=0.3904 G=1.9217 (adv=0.7531, cycle=0.0888, id=0.0509, sem=0.0257)
[89/200] D=0.3985 G=1.9187 (adv=0.7580, cycle=0.0880, id=0.0511, sem=0.0258)
[90/200] D=0.3946 G=1.9610 (adv=0.7776, cycle=0.0902, id=0.0510, sem=0.0262)
[91/200] D=0.4008 G=1.9567 (adv=0.7762, cycle=0.0899, id=0.0510, sem=0.0263)
[92/200] D=0.3946 G=1.9748 (adv=0.7791, cycle=0.0909, id=0.0521, sem=0.0267)
[93/200] D=0.3930 G=2.0403 (adv=0.8017, cycle=0.0929, id=0.0567, sem=0.0262)
[94/200] D=0.4039 G=1.9404 (adv=0.7769, cycle=0.0885, id=0.0507, sem=0.0252)
[95/200] D=0.4069 G=1.9255 (adv=0.7734, cycle=0.0876, id=0.0503, sem=0.0245)
[96/200] D=0.5278 G=1.9952 (adv=0.8080, cycle=0.0903, id=0.0519, sem=0.0246)
[97/200] D=0.4204 G=1.8129 (adv=0.6924, cycle=0.0851, id=0.0490, sem=0.0250)
[98/200] D=0.4045 G=1.8036 (adv=0.7099, cycle=0.0826, id=0.0486, sem=0.0244)
[99/200] D=0.4016 G=1.8536 (adv=0.7407, cycle=0.0845, id=0.0487, sem=0.0242)
[100/200] D=0.3995 G=1.8618 (adv=0.7473, cycle=0.0849, id=0.0482, sem=0.0242)
[101/200] D=0.4011 G=1.8539 (adv=0.7529, cycle=0.0836, id=0.0482, sem=0.0239)
[102/200] D=0.3996 G=1.8911 (adv=0.7705, cycle=0.0853, id=0.0486, sem=0.0249)
[103/200] D=0.4111 G=1.8291 (adv=0.7579, cycle=0.0813, id=0.0467, sem=0.0243)
[104/200] D=0.4079 G=1.8351 (adv=0.7524, cycle=0.0822, id=0.0472, sem=0.0242)
[105/200] D=0.3994 G=1.9348 (adv=0.7930, cycle=0.0873, id=0.0488, sem=0.0247)
[106/200] D=0.3916 G=1.9119 (adv=0.7901, cycle=0.0856, id=0.0482, sem=0.0248)
[107/200] D=0.5749 G=2.1573 (adv=0.8806, cycle=0.0978, id=0.0548, sem=0.0245)
[108/200] D=0.4194 G=1.7424 (adv=0.6893, cycle=0.0799, id=0.0460, sem=0.0243)
[109/200] D=0.3913 G=1.7909 (adv=0.7352, cycle=0.0802, id=0.0457, sem=0.0253)
[110/200] D=0.3936 G=1.7814 (adv=0.7408, cycle=0.0791, id=0.0450, sem=0.0242)
[111/200] D=0.4025 G=1.7504 (adv=0.7359, cycle=0.0772, id=0.0438, sem=0.0235)
[112/200] D=0.4023 G=1.7715 (adv=0.7390, cycle=0.0787, id=0.0444, sem=0.0235)
[113/200] D=0.4025 G=1.7564 (adv=0.7404, cycle=0.0776, id=0.0432, sem=0.0234)
[114/200] D=0.4041 G=1.7893 (adv=0.7509, cycle=0.0793, id=0.0442, sem=0.0237)
[115/200] D=0.4083 G=1.7671 (adv=0.7470, cycle=0.0781, id=0.0432, sem=0.0232)
[116/200] D=0.4058 G=1.8016 (adv=0.7630, cycle=0.0798, id=0.0434, sem=0.0236)
[117/200] D=0.3727 G=2.0518 (adv=0.8604, cycle=0.0924, id=0.0481, sem=0.0270)
[118/200] D=0.3794 G=1.9306 (adv=0.8151, cycle=0.0860, id=0.0459, sem=0.0265)
[119/200] D=0.3769 G=1.9354 (adv=0.8227, cycle=0.0858, id=0.0456, sem=0.0270)
[120/200] D=0.3979 G=1.7928 (adv=0.7692, cycle=0.0788, id=0.0423, sem=0.0245)
[121/200] D=0.4082 G=1.7574 (adv=0.7516, cycle=0.0775, id=0.0414, sem=0.0241)
[122/200] D=0.4117 G=1.7511 (adv=0.7472, cycle=0.0772, id=0.0415, sem=0.0242)
[123/200] D=0.4139 G=1.7361 (adv=0.7471, cycle=0.0759, id=0.0412, sem=0.0240)
[124/200] D=0.4071 G=1.8083 (adv=0.7562, cycle=0.0806, id=0.0442, sem=0.0249)
[125/200] D=0.4093 G=1.7473 (adv=0.7511, cycle=0.0765, id=0.0414, sem=0.0244)
[126/200] D=0.4150 G=1.7109 (adv=0.7372, cycle=0.0748, id=0.0404, sem=0.0239)
[127/200] D=0.4158 G=1.7132 (adv=0.7332, cycle=0.0753, id=0.0408, sem=0.0237)
[128/200] D=0.4095 G=1.7543 (adv=0.7493, cycle=0.0772, id=0.0418, sem=0.0239)
[129/200] D=0.4031 G=1.7745 (adv=0.7613, cycle=0.0770, id=0.0438, sem=0.0243)
[130/200] D=0.4146 G=1.7157 (adv=0.7373, cycle=0.0749, id=0.0411, sem=0.0235)
[131/200] D=0.4148 G=1.6952 (adv=0.7420, cycle=0.0731, id=0.0397, sem=0.0234)
[132/200] D=0.4033 G=1.8285 (adv=0.7860, cycle=0.0807, id=0.0424, sem=0.0242)
[133/200] D=0.4953 G=1.8565 (adv=0.8274, cycle=0.0794, id=0.0420, sem=0.0254)
[134/200] D=0.4170 G=1.6138 (adv=0.6928, cycle=0.0705, id=0.0386, sem=0.0230)
[135/200] D=0.4034 G=1.6447 (adv=0.7175, cycle=0.0712, id=0.0384, sem=0.0227)
[136/200] D=0.4058 G=1.6477 (adv=0.7250, cycle=0.0709, id=0.0380, sem=0.0233)
[137/200] D=0.4094 G=1.6291 (adv=0.7224, cycle=0.0697, id=0.0373, sem=0.0232)
[138/200] D=0.4111 G=1.6404 (adv=0.7217, cycle=0.0706, id=0.0380, sem=0.0231)
[139/200] D=0.4152 G=1.6180 (adv=0.7213, cycle=0.0688, id=0.0371, sem=0.0228)
[140/200] D=0.4180 G=1.6118 (adv=0.7200, cycle=0.0686, id=0.0366, sem=0.0232)
[141/200] D=0.4199 G=1.5958 (adv=0.7114, cycle=0.0681, id=0.0363, sem=0.0226)
[142/200] D=0.4150 G=1.6290 (adv=0.7313, cycle=0.0692, id=0.0366, sem=0.0228)
[143/200] D=0.4013 G=1.6787 (adv=0.7498, cycle=0.0719, id=0.0371, sem=0.0245)
[144/200] D=0.4111 G=1.6296 (adv=0.7291, cycle=0.0694, id=0.0365, sem=0.0239)
[145/200] D=0.4151 G=1.5777 (adv=0.7127, cycle=0.0666, id=0.0353, sem=0.0228)
[146/200] D=0.4196 G=1.5731 (adv=0.7143, cycle=0.0661, id=0.0349, sem=0.0228)
[147/200] D=0.4172 G=1.5676 (adv=0.7118, cycle=0.0659, id=0.0348, sem=0.0225)
[148/200] D=0.4212 G=1.5619 (adv=0.7099, cycle=0.0656, id=0.0347, sem=0.0226)
[149/200] D=0.4193 G=1.5630 (adv=0.7154, cycle=0.0653, id=0.0344, sem=0.0228)
[150/200] D=0.4212 G=1.5486 (adv=0.7058, cycle=0.0649, id=0.0344, sem=0.0223)
[151/200] D=0.4184 G=1.5749 (adv=0.7189, cycle=0.0662, id=0.0343, sem=0.0223)
[152/200] D=0.4169 G=1.5332 (adv=0.7052, cycle=0.0639, id=0.0334, sem=0.0222)
[153/200] D=0.4218 G=1.5277 (adv=0.7036, cycle=0.0634, id=0.0335, sem=0.0222)
[154/200] D=0.4202 G=1.5138 (adv=0.7038, cycle=0.0624, id=0.0327, sem=0.0222)
[155/200] D=0.4227 G=1.5259 (adv=0.7070, cycle=0.0632, id=0.0329, sem=0.0220)
[156/200] D=0.4221 G=1.5094 (adv=0.7053, cycle=0.0619, id=0.0326, sem=0.0219)
[157/200] D=0.4207 G=1.4987 (adv=0.6951, cycle=0.0621, id=0.0323, sem=0.0218)
[158/200] D=0.4188 G=1.5154 (adv=0.7076, cycle=0.0624, id=0.0324, sem=0.0219)
[159/200] D=0.4210 G=1.4950 (adv=0.6978, cycle=0.0617, id=0.0317, sem=0.0218)
[160/200] D=0.4215 G=1.4909 (adv=0.7014, cycle=0.0609, id=0.0318, sem=0.0218)
[161/200] D=0.4224 G=1.4832 (adv=0.6990, cycle=0.0605, id=0.0315, sem=0.0215)
[162/200] D=0.4242 G=1.4791 (adv=0.6943, cycle=0.0607, id=0.0313, sem=0.0217)
[163/200] D=0.4159 G=1.5013 (adv=0.7079, cycle=0.0614, id=0.0314, sem=0.0222)
[164/200] D=0.4207 G=1.4598 (adv=0.6915, cycle=0.0593, id=0.0306, sem=0.0217)
[165/200] D=0.4232 G=1.4619 (adv=0.6957, cycle=0.0591, id=0.0307, sem=0.0217)
[166/200] D=0.4235 G=1.4570 (adv=0.6973, cycle=0.0587, id=0.0302, sem=0.0216)
[167/200] D=0.4223 G=1.4486 (adv=0.6902, cycle=0.0586, id=0.0303, sem=0.0214)
[168/200] D=0.4253 G=1.4390 (adv=0.6879, cycle=0.0581, id=0.0298, sem=0.0214)
[169/200] D=0.4215 G=1.4421 (adv=0.6942, cycle=0.0578, id=0.0296, sem=0.0214)
[170/200] D=0.4236 G=1.4344 (adv=0.6915, cycle=0.0573, id=0.0296, sem=0.0214)
[171/200] D=0.4243 G=1.4265 (adv=0.6870, cycle=0.0572, id=0.0293, sem=0.0212)
[172/200] D=0.4259 G=1.4229 (adv=0.6874, cycle=0.0570, id=0.0289, sem=0.0212)
[173/200] D=0.4237 G=1.4162 (adv=0.6893, cycle=0.0562, id=0.0287, sem=0.0212)
[174/200] D=0.4190 G=1.4296 (adv=0.6927, cycle=0.0568, id=0.0295, sem=0.0215)
[175/200] D=0.4258 G=1.4078 (adv=0.6857, cycle=0.0558, id=0.0286, sem=0.0210)
[176/200] D=0.4239 G=1.3993 (adv=0.6834, cycle=0.0553, id=0.0283, sem=0.0210)
[177/200] D=0.4247 G=1.3928 (adv=0.6807, cycle=0.0551, id=0.0280, sem=0.0210)
[178/200] D=0.4247 G=1.3909 (adv=0.6834, cycle=0.0548, id=0.0278, sem=0.0208)
[179/200] D=0.4232 G=1.3840 (adv=0.6804, cycle=0.0545, id=0.0276, sem=0.0208)
[180/200] D=0.4243 G=1.3816 (adv=0.6829, cycle=0.0540, id=0.0275, sem=0.0208)
[181/200] D=0.4256 G=1.3724 (adv=0.6788, cycle=0.0537, id=0.0272, sem=0.0207)
[182/200] D=0.4264 G=1.3738 (adv=0.6819, cycle=0.0536, id=0.0271, sem=0.0207)
[183/200] D=0.4245 G=1.3681 (adv=0.6804, cycle=0.0532, id=0.0270, sem=0.0207)
[184/200] D=0.4260 G=1.3605 (adv=0.6775, cycle=0.0529, id=0.0267, sem=0.0205)
[185/200] D=0.4252 G=1.3583 (adv=0.6797, cycle=0.0525, id=0.0266, sem=0.0206)
[186/200] D=0.4255 G=1.3572 (adv=0.6819, cycle=0.0522, id=0.0265, sem=0.0205)
[187/200] D=0.4259 G=1.3508 (adv=0.6781, cycle=0.0521, id=0.0263, sem=0.0205)
[188/200] D=0.4264 G=1.3453 (adv=0.6757, cycle=0.0519, id=0.0261, sem=0.0204)
[189/200] D=0.4254 G=1.3423 (adv=0.6760, cycle=0.0516, id=0.0260, sem=0.0206)
[190/200] D=0.4249 G=1.3412 (adv=0.6772, cycle=0.0514, id=0.0259, sem=0.0204)
[191/200] D=0.4261 G=1.3336 (adv=0.6736, cycle=0.0511, id=0.0258, sem=0.0203)
[192/200] D=0.4259 G=1.3304 (adv=0.6727, cycle=0.0509, id=0.0256, sem=0.0203)
[193/200] D=0.4268 G=1.3271 (adv=0.6709, cycle=0.0508, id=0.0256, sem=0.0203)
[194/200] D=0.4246 G=1.3258 (adv=0.6727, cycle=0.0506, id=0.0254, sem=0.0203)
[195/200] D=0.4258 G=1.3218 (adv=0.6711, cycle=0.0504, id=0.0253, sem=0.0202)
[196/200] D=0.4257 G=1.3200 (adv=0.6703, cycle=0.0503, id=0.0253, sem=0.0202)
[197/200] D=0.4267 G=1.3185 (adv=0.6710, cycle=0.0501, id=0.0252, sem=0.0203)
[198/200] D=0.4247 G=1.3150 (adv=0.6693, cycle=0.0500, id=0.0251, sem=0.0202)
[199/200] D=0.4246 G=1.3136 (adv=0.6700, cycle=0.0498, id=0.0250, sem=0.0202)
[200/200] D=0.4245 G=1.3162 (adv=0.6730, cycle=0.0498, id=0.0250, sem=0.0201)
