[1/200] D=0.4369 G=5.6273 (adv=0.7992, cycle=0.3485, id=0.3358)
[2/200] D=0.3978 G=3.6823 (adv=0.7394, cycle=0.2150, id=0.1981)
[3/200] D=0.3669 G=3.4359 (adv=0.8143, cycle=0.1940, id=0.1704)
[4/200] D=0.3851 G=3.2230 (adv=0.7725, cycle=0.1822, id=0.1570)
[5/200] D=0.3905 G=2.9906 (adv=0.7622, cycle=0.1666, id=0.1406)
[6/200] D=0.3853 G=2.8961 (adv=0.7809, cycle=0.1590, id=0.1312)
[7/200] D=0.3939 G=2.8597 (adv=0.7812, cycle=0.1567, id=0.1278)
[8/200] D=0.3861 G=2.8094 (adv=0.7945, cycle=0.1525, id=0.1226)
[9/200] D=0.4991 G=2.6928 (adv=0.7946, cycle=0.1433, id=0.1164)
[10/200] D=0.4216 G=2.5212 (adv=0.7122, cycle=0.1362, id=0.1118)
[11/200] D=0.4718 G=2.4678 (adv=0.7186, cycle=0.1315, id=0.1086)
[12/200] D=0.3981 G=2.4385 (adv=0.7268, cycle=0.1295, id=0.1041)
[13/200] D=0.3872 G=2.4853 (adv=0.7616, cycle=0.1311, id=0.1031)
[14/200] D=0.3884 G=2.4942 (adv=0.7832, cycle=0.1304, id=0.1017)
[15/200] D=0.3857 G=2.5196 (adv=0.7912, cycle=0.1321, id=0.1018)
[16/200] D=0.3902 G=2.4205 (adv=0.7841, cycle=0.1252, id=0.0962)
[17/200] D=0.3980 G=2.4569 (adv=0.7939, cycle=0.1278, id=0.0962)
[18/200] D=0.3787 G=2.4822 (adv=0.8126, cycle=0.1282, id=0.0968)
[19/200] D=0.3893 G=2.4078 (adv=0.7922, cycle=0.1244, id=0.0930)
[20/200] D=0.4157 G=2.3818 (adv=0.8017, cycle=0.1218, id=0.0905)
[21/200] D=0.3859 G=2.3286 (adv=0.7667, cycle=0.1204, id=0.0894)
[22/200] D=0.3941 G=2.4064 (adv=0.8264, cycle=0.1222, id=0.0895)
[23/200] D=0.3828 G=2.3092 (adv=0.7830, cycle=0.1186, id=0.0849)
[21/200] D=0.3865 G=2.3461 (adv=0.7770, cycle=0.1211, id=0.0895)
[22/200] D=0.4025 G=2.3453 (adv=0.7928, cycle=0.1198, id=0.0887)
[23/200] D=0.3914 G=2.3159 (adv=0.7858, cycle=0.1188, id=0.0854)
[24/200] D=0.3929 G=2.3328 (adv=0.7961, cycle=0.1195, id=0.0853)
[25/200] D=0.3874 G=2.3146 (adv=0.8008, cycle=0.1176, id=0.0844)
[26/200] D=0.3990 G=2.2734 (adv=0.7912, cycle=0.1149, id=0.0834)
[27/200] D=0.3972 G=2.2742 (adv=0.7812, cycle=0.1164, id=0.0822)
[28/200] D=0.3981 G=2.2758 (adv=0.7883, cycle=0.1158, id=0.0824)
[29/200] D=0.4020 G=2.2476 (adv=0.7867, cycle=0.1143, id=0.0794)
[30/200] D=0.4026 G=2.2591 (adv=0.7775, cycle=0.1156, id=0.0815)
[31/200] D=0.4011 G=2.2256 (adv=0.7773, cycle=0.1133, id=0.0789)
[32/200] D=0.4043 G=2.2021 (adv=0.7844, cycle=0.1108, id=0.0774)
[33/200] D=0.4032 G=2.1920 (adv=0.7747, cycle=0.1105, id=0.0782)
[21/200] D=0.3881 G=2.3285 (adv=0.7754, cycle=0.1198, id=0.0889)
