[1/200] D=0.4193 G=5.1260 (adv=0.7735, cycle=0.3336, id=0.3388)
[2/200] D=0.3970 G=4.1100 (adv=0.7153, cycle=0.2584, id=0.2702)
[3/200] D=0.3835 G=3.8367 (adv=0.7984, cycle=0.2292, id=0.2489)
[4/200] D=0.3713 G=3.7418 (adv=0.8368, cycle=0.2190, id=0.2383)
[5/200] D=0.3529 G=3.8674 (adv=0.8948, cycle=0.2255, id=0.2393)
[6/200] D=0.3655 G=3.6084 (adv=0.8471, cycle=0.2108, id=0.2179)
[7/200] D=0.3866 G=3.5357 (adv=0.8458, cycle=0.2060, id=0.2101)
[8/200] D=0.3712 G=3.5372 (adv=0.8460, cycle=0.2066, id=0.2082)
[9/200] D=0.3620 G=3.5461 (adv=0.8887, cycle=0.2044, id=0.2045)
[10/200] D=0.3603 G=3.4569 (adv=0.8889, cycle=0.1976, id=0.1973)
[11/200] D=0.3624 G=3.4230 (adv=0.8872, cycle=0.1962, id=0.1914)
[12/200] D=0.4325 G=3.2626 (adv=0.8250, cycle=0.1877, id=0.1870)
[13/200] D=0.3531 G=3.2655 (adv=0.8765, cycle=0.1848, id=0.1804)
[14/200] D=0.3411 G=3.6772 (adv=0.9893, cycle=0.2093, id=0.1984)
[15/200] D=0.3496 G=3.4682 (adv=0.8862, cycle=0.2003, id=0.1929)
[16/200] D=0.3629 G=3.3514 (adv=0.8646, cycle=0.1925, id=0.1873)
[17/200] D=0.3634 G=3.2716 (adv=0.8778, cycle=0.1848, id=0.1819)
[18/200] D=0.3657 G=3.2345 (adv=0.8850, cycle=0.1831, id=0.1728)
[19/200] D=0.3632 G=3.2331 (adv=0.8902, cycle=0.1824, id=0.1730)
[20/200] D=0.4116 G=3.2655 (adv=0.8941, cycle=0.1849, id=0.1740)
[21/200] D=0.3474 G=3.2989 (adv=0.8844, cycle=0.1883, id=0.1773)
[22/200] D=0.3618 G=3.1741 (adv=0.8744, cycle=0.1793, id=0.1689)
[23/200] D=0.3657 G=3.1410 (adv=0.8820, cycle=0.1762, id=0.1656)
[24/200] D=0.3658 G=3.1621 (adv=0.9023, cycle=0.1763, id=0.1656)
[25/200] D=0.3610 G=3.1948 (adv=0.9119, cycle=0.1780, id=0.1675)
[26/200] D=0.5239 G=3.1683 (adv=0.9199, cycle=0.1754, id=0.1648)
[27/200] D=0.4227 G=2.7710 (adv=0.7024, cycle=0.1611, id=0.1526)
[28/200] D=0.4049 G=2.9307 (adv=0.7543, cycle=0.1695, id=0.1606)
[29/200] D=0.3820 G=3.0081 (adv=0.8046, cycle=0.1709, id=0.1648)
[30/200] D=0.3717 G=3.0333 (adv=0.8397, cycle=0.1721, id=0.1574)
[31/200] D=0.3537 G=3.2005 (adv=0.9221, cycle=0.1781, id=0.1658)
[32/200] D=0.3549 G=3.1254 (adv=0.9059, cycle=0.1735, id=0.1613)
[33/200] D=0.3569 G=3.1535 (adv=0.9088, cycle=0.1757, id=0.1626)
[34/200] D=0.3590 G=3.0505 (adv=0.9105, cycle=0.1676, id=0.1548)
[35/200] D=0.3580 G=3.1428 (adv=0.9197, cycle=0.1736, id=0.1622)
[36/200] D=0.3611 G=3.1049 (adv=0.9254, cycle=0.1710, id=0.1565)
[37/200] D=0.3253 G=3.6810 (adv=1.1276, cycle=0.1997, id=0.1854)
[38/200] D=0.2874 G=3.5621 (adv=1.0726, cycle=0.1940, id=0.1832)
[39/200] D=0.3311 G=3.2353 (adv=0.9791, cycle=0.1767, id=0.1630)
[40/200] D=0.3392 G=3.1000 (adv=0.9550, cycle=0.1688, id=0.1523)
[41/200] D=0.5504 G=3.1461 (adv=0.9839, cycle=0.1688, id=0.1580)
[42/200] D=0.4158 G=2.7290 (adv=0.7236, cycle=0.1555, id=0.1501)
[43/200] D=0.3988 G=2.7743 (adv=0.7678, cycle=0.1559, id=0.1490)
[44/200] D=0.3874 G=2.7492 (adv=0.7847, cycle=0.1532, id=0.1440)
[45/200] D=0.3712 G=2.9187 (adv=0.8636, cycle=0.1604, id=0.1505)
[46/200] D=0.3508 G=3.0887 (adv=0.9211, cycle=0.1712, id=0.1517)
[47/200] D=0.3589 G=3.0175 (adv=0.8723, cycle=0.1683, id=0.1541)
[48/200] D=0.4123 G=3.0141 (adv=0.9058, cycle=0.1654, id=0.1513)
[49/200] D=0.3540 G=2.9282 (adv=0.8457, cycle=0.1630, id=0.1508)
[50/200] D=0.3336 G=3.0726 (adv=0.9426, cycle=0.1672, id=0.1525)
[51/200] D=0.3256 G=3.0713 (adv=0.9561, cycle=0.1656, id=0.1531)
[52/200] D=0.3289 G=3.0507 (adv=0.9721, cycle=0.1622, id=0.1523)
[53/200] D=0.3285 G=3.0360 (adv=0.9887, cycle=0.1601, id=0.1487)
[54/200] D=0.3390 G=3.0434 (adv=0.9580, cycle=0.1637, id=0.1496)
[55/200] D=0.5397 G=2.8483 (adv=0.8739, cycle=0.1543, id=0.1438)
[56/200] D=0.4223 G=2.6031 (adv=0.7105, cycle=0.1477, id=0.1384)
[57/200] D=0.3919 G=2.7267 (adv=0.7700, cycle=0.1523, id=0.1444)
[58/200] D=0.3384 G=2.9444 (adv=0.9079, cycle=0.1587, id=0.1499)
[59/200] D=0.3426 G=2.9582 (adv=0.9059, cycle=0.1607, id=0.1483)
[60/200] D=0.3584 G=2.9632 (adv=0.8994, cycle=0.1609, id=0.1517)
[61/200] D=0.3532 G=2.9119 (adv=0.9063, cycle=0.1571, id=0.1448)
[62/200] D=0.3634 G=2.9287 (adv=0.9142, cycle=0.1571, id=0.1477)
[63/200] D=0.4234 G=3.3612 (adv=1.0375, cycle=0.1834, id=0.1633)
[64/200] D=0.3010 G=3.1476 (adv=0.9665, cycle=0.1710, id=0.1569)
[65/200] D=0.3277 G=3.0162 (adv=0.9511, cycle=0.1620, id=0.1485)
[66/200] D=0.3300 G=2.9307 (adv=0.9417, cycle=0.1557, id=0.1439)
[67/200] D=0.4738 G=2.9767 (adv=0.9522, cycle=0.1577, id=0.1491)
[68/200] D=0.3976 G=2.6020 (adv=0.7462, cycle=0.1442, id=0.1380)
[69/200] D=0.3776 G=2.7103 (adv=0.8081, cycle=0.1480, id=0.1408)
[70/200] D=0.3334 G=3.0092 (adv=0.9599, cycle=0.1601, id=0.1494)
[71/200] D=0.3535 G=2.9227 (adv=0.8685, cycle=0.1600, id=0.1515)
[72/200] D=0.3540 G=2.8160 (adv=0.8999, cycle=0.1503, id=0.1376)
[73/200] D=0.3528 G=2.9086 (adv=0.9358, cycle=0.1536, id=0.1455)
[74/200] D=0.3514 G=2.8464 (adv=0.9296, cycle=0.1504, id=0.1374)
[75/200] D=0.3575 G=2.7646 (adv=0.9089, cycle=0.1451, id=0.1349)
[76/200] D=0.3606 G=2.7902 (adv=0.9118, cycle=0.1477, id=0.1339)
[77/200] D=0.3554 G=2.8053 (adv=0.9186, cycle=0.1484, id=0.1343)
[78/200] D=0.3521 G=2.9180 (adv=0.9520, cycle=0.1548, id=0.1393)
[79/200] D=0.3538 G=2.8521 (adv=0.9353, cycle=0.1517, id=0.1332)
[80/200] D=0.3551 G=2.8418 (adv=0.9312, cycle=0.1505, id=0.1353)
[81/200] D=0.5804 G=3.0422 (adv=0.9937, cycle=0.1605, id=0.1479)
[82/200] D=0.4181 G=2.5209 (adv=0.7085, cycle=0.1415, id=0.1326)
[83/200] D=0.4014 G=2.5141 (adv=0.7438, cycle=0.1384, id=0.1287)
[84/200] D=0.3827 G=2.5861 (adv=0.7863, cycle=0.1405, id=0.1316)
[85/200] D=0.4041 G=2.8141 (adv=0.9560, cycle=0.1464, id=0.1314)
[86/200] D=0.4453 G=2.5381 (adv=0.7724, cycle=0.1379, id=0.1288)
[87/200] D=0.3793 G=2.6125 (adv=0.7971, cycle=0.1406, id=0.1366)
[88/200] D=0.3533 G=2.6573 (adv=0.8535, cycle=0.1406, id=0.1325)
[89/200] D=0.3119 G=3.1569 (adv=1.0295, cycle=0.1680, id=0.1490)
[90/200] D=0.3112 G=2.9128 (adv=0.9552, cycle=0.1533, id=0.1414)
[91/200] D=0.4276 G=2.7230 (adv=0.8824, cycle=0.1438, id=0.1342)
[92/200] D=0.3799 G=2.6036 (adv=0.7753, cycle=0.1424, id=0.1348)
[93/200] D=0.3211 G=2.7092 (adv=0.9284, cycle=0.1395, id=0.1287)
[94/200] D=0.2989 G=3.0327 (adv=1.0419, cycle=0.1565, id=0.1421)
[95/200] D=0.3061 G=2.9153 (adv=1.0200, cycle=0.1492, id=0.1343)
[96/200] D=0.3052 G=3.0027 (adv=1.0575, cycle=0.1521, id=0.1415)
[97/200] D=0.3086 G=2.9445 (adv=1.0408, cycle=0.1493, id=0.1370)
[98/200] D=0.3062 G=2.9801 (adv=1.0770, cycle=0.1491, id=0.1372)
[99/200] D=0.3026 G=2.9044 (adv=1.0507, cycle=0.1455, id=0.1330)
[100/200] D=0.2861 G=3.1016 (adv=1.1559, cycle=0.1518, id=0.1424)
[101/200] D=0.4442 G=3.0278 (adv=1.1472, cycle=0.1471, id=0.1366)
[102/200] D=0.4426 G=2.4447 (adv=0.6809, cycle=0.1375, id=0.1297)
[103/200] D=0.4253 G=2.4114 (adv=0.7063, cycle=0.1327, id=0.1261)
[104/200] D=0.3895 G=2.5099 (adv=0.7846, cycle=0.1343, id=0.1274)
[105/200] D=0.3121 G=2.7948 (adv=0.9988, cycle=0.1404, id=0.1308)
[106/200] D=0.2854 G=2.8583 (adv=1.0518, cycle=0.1404, id=0.1343)
[107/200] D=0.2580 G=3.1820 (adv=1.2227, cycle=0.1543, id=0.1389)
[108/200] D=0.2094 G=3.5170 (adv=1.3421, cycle=0.1703, id=0.1573)
[109/200] D=0.2987 G=3.8623 (adv=1.2929, cycle=0.2039, id=0.1767)
[110/200] D=0.2129 G=3.4695 (adv=1.1853, cycle=0.1814, id=0.1566)
[111/200] D=0.2343 G=3.0680 (adv=1.1444, cycle=0.1516, id=0.1357)
[112/200] D=0.2475 G=3.1666 (adv=1.1914, cycle=0.1560, id=0.1384)
[113/200] D=0.2722 G=2.9388 (adv=1.1020, cycle=0.1440, id=0.1323)
[114/200] D=0.2697 G=2.9462 (adv=1.1311, cycle=0.1424, id=0.1303)
[115/200] D=0.2608 G=3.0823 (adv=1.1907, cycle=0.1484, id=0.1360)
[116/200] D=0.3621 G=2.8633 (adv=1.0332, cycle=0.1428, id=0.1339)
[117/200] D=0.3132 G=3.1835 (adv=1.1730, cycle=0.1572, id=0.1462)
[118/200] D=0.2651 G=2.8271 (adv=1.0715, cycle=0.1372, id=0.1278)
[119/200] D=0.2637 G=2.8977 (adv=1.1320, cycle=0.1386, id=0.1264)
[120/200] D=0.2759 G=2.8483 (adv=1.1018, cycle=0.1376, id=0.1236)
[121/200] D=0.2739 G=2.8520 (adv=1.1237, cycle=0.1351, id=0.1257)
[122/200] D=0.2526 G=2.8651 (adv=1.1455, cycle=0.1340, id=0.1267)
[123/200] D=0.2740 G=2.8032 (adv=1.1059, cycle=0.1331, id=0.1222)
[124/200] D=0.2780 G=2.8387 (adv=1.1398, cycle=0.1324, id=0.1251)
[125/200] D=0.2712 G=2.8861 (adv=1.1427, cycle=0.1361, id=0.1273)
[126/200] D=0.2747 G=2.8451 (adv=1.1347, cycle=0.1337, id=0.1245)
[127/200] D=0.2765 G=2.8596 (adv=1.1445, cycle=0.1344, id=0.1238)
[128/200] D=0.2645 G=2.8977 (adv=1.1807, cycle=0.1346, id=0.1236)
[129/200] D=0.2615 G=2.8943 (adv=1.1595, cycle=0.1355, id=0.1266)
[130/200] D=0.3346 G=2.7962 (adv=1.0874, cycle=0.1339, id=0.1234)
[131/200] D=0.2862 G=2.7557 (adv=1.0622, cycle=0.1331, id=0.1210)
[132/200] D=0.2570 G=2.8399 (adv=1.1446, cycle=0.1334, id=0.1203)
[133/200] D=0.2555 G=2.7982 (adv=1.1469, cycle=0.1298, id=0.1177)
[134/200] D=0.2551 G=2.8982 (adv=1.1972, cycle=0.1339, id=0.1205)
[135/200] D=0.2579 G=2.9167 (adv=1.1847, cycle=0.1353, id=0.1264)
[136/200] D=0.2606 G=2.8208 (adv=1.1587, cycle=0.1305, id=0.1191)
[137/200] D=0.2613 G=2.8237 (adv=1.1737, cycle=0.1292, id=0.1192)
[138/200] D=0.2668 G=2.7789 (adv=1.1424, cycle=0.1282, id=0.1180)
[139/200] D=0.2580 G=2.8808 (adv=1.1901, cycle=0.1324, id=0.1223)
[140/200] D=0.2606 G=2.8088 (adv=1.1734, cycle=0.1286, id=0.1166)
[141/200] D=0.2586 G=2.8203 (adv=1.1915, cycle=0.1273, id=0.1186)
[142/200] D=0.2588 G=2.8128 (adv=1.1898, cycle=0.1271, id=0.1172)
[143/200] D=0.2771 G=2.7442 (adv=1.1528, cycle=0.1254, id=0.1126)
[144/200] D=0.2485 G=2.7584 (adv=1.1607, cycle=0.1256, id=0.1138)
[145/200] D=0.2525 G=2.6877 (adv=1.0820, cycle=0.1254, id=0.1171)
[146/200] D=0.3430 G=2.3937 (adv=0.8197, cycle=0.1233, id=0.1137)
[147/200] D=0.3459 G=2.4349 (adv=0.8618, cycle=0.1232, id=0.1137)
[148/200] D=0.3425 G=2.4224 (adv=0.8866, cycle=0.1205, id=0.1104)
