[61/200] D=0.3228 G=2.6009 (adv=0.9363, cycle=0.1222, id=0.0853, sem=0.0162)
[62/200] D=0.3612 G=2.6702 (adv=0.9718, cycle=0.1247, id=0.0870, sem=0.0163)
[63/200] D=0.3167 G=2.5597 (adv=0.9205, cycle=0.1199, id=0.0848, sem=0.0163)
[64/200] D=0.3187 G=2.6023 (adv=0.9441, cycle=0.1215, id=0.0853, sem=0.0165)
[65/200] D=0.3254 G=2.5820 (adv=0.9477, cycle=0.1199, id=0.0838, sem=0.0163)
[66/200] D=0.3224 G=2.6617 (adv=0.9759, cycle=0.1238, id=0.0862, sem=0.0166)
[67/200] D=0.3230 G=2.6205 (adv=0.9714, cycle=0.1209, id=0.0848, sem=0.0163)
[68/200] D=0.3255 G=2.5825 (adv=0.9522, cycle=0.1197, id=0.0833, sem=0.0167)
[69/200] D=0.6752 G=3.1945 (adv=1.1527, cycle=0.1514, id=0.1022, sem=0.0165)
[70/200] D=0.3532 G=2.5527 (adv=0.8731, cycle=0.1224, id=0.0878, sem=0.0163)
[71/200] D=0.6674 G=3.0359 (adv=1.1664, cycle=0.1389, id=0.0928, sem=0.0168)
[72/200] D=0.4587 G=2.2226 (adv=0.5841, cycle=0.1173, id=0.0899, sem=0.0156)
[73/200] D=0.4545 G=1.9694 (adv=0.5873, cycle=0.0972, id=0.0791, sem=0.0146)
[74/200] D=0.4376 G=1.9924 (adv=0.6114, cycle=0.0977, id=0.0780, sem=0.0145)
[75/200] D=0.4249 G=2.0349 (adv=0.6464, cycle=0.0986, id=0.0776, sem=0.0147)
[76/200] D=0.4058 G=2.1331 (adv=0.7029, cycle=0.1026, id=0.0779, sem=0.0149)
[77/200] D=0.3942 G=2.1074 (adv=0.7243, cycle=0.0993, id=0.0750, sem=0.0149)
[78/200] D=0.3836 G=2.2261 (adv=0.7677, cycle=0.1056, id=0.0776, sem=0.0150)
[79/200] D=0.3666 G=2.2569 (adv=0.7926, cycle=0.1062, id=0.0774, sem=0.0150)
[80/200] D=0.3618 G=2.3008 (adv=0.8202, cycle=0.1076, id=0.0779, sem=0.0153)
[81/200] D=0.3503 G=2.3155 (adv=0.8364, cycle=0.1081, id=0.0765, sem=0.0158)
[82/200] D=0.3464 G=2.3422 (adv=0.8621, cycle=0.1082, id=0.0765, sem=0.0158)
[83/200] D=0.3437 G=2.4241 (adv=0.8835, cycle=0.1133, id=0.0784, sem=0.0161)
[84/200] D=0.3392 G=2.3918 (adv=0.8907, cycle=0.1097, id=0.0776, sem=0.0162)
[85/200] D=0.3393 G=2.4097 (adv=0.8957, cycle=0.1110, id=0.0776, sem=0.0162)
[86/200] D=0.3378 G=2.5255 (adv=0.9486, cycle=0.1159, id=0.0803, sem=0.0164)
[87/200] D=0.3337 G=2.4484 (adv=0.9041, cycle=0.1141, id=0.0774, sem=0.0165)
[88/200] D=0.3328 G=2.4334 (adv=0.9182, cycle=0.1114, id=0.0769, sem=0.0163)
[89/200] D=0.3307 G=2.5068 (adv=0.9395, cycle=0.1159, id=0.0784, sem=0.0165)
[90/200] D=0.3673 G=2.4945 (adv=0.9556, cycle=0.1132, id=0.0780, sem=0.0167)
[91/200] D=0.3251 G=2.4370 (adv=0.9147, cycle=0.1118, id=0.0775, sem=0.0167)
[92/200] D=0.3318 G=2.4768 (adv=0.9354, cycle=0.1136, id=0.0778, sem=0.0169)
[93/200] D=0.4394 G=2.3975 (adv=0.8926, cycle=0.1101, id=0.0775, sem=0.0165)
[94/200] D=0.3371 G=2.2988 (adv=0.8380, cycle=0.1071, id=0.0747, sem=0.0164)
[95/200] D=0.3295 G=2.4191 (adv=0.9170, cycle=0.1110, id=0.0751, sem=0.0169)
[96/200] D=0.3232 G=2.4564 (adv=0.9455, cycle=0.1115, id=0.0757, sem=0.0170)
[97/200] D=0.3277 G=2.4566 (adv=0.9486, cycle=0.1115, id=0.0752, sem=0.0170)
[98/200] D=0.3278 G=2.5010 (adv=0.9469, cycle=0.1151, id=0.0772, sem=0.0173)
[99/200] D=0.9139 G=3.8332 (adv=1.5556, cycle=0.1689, id=0.1143, sem=0.0168)
[100/200] D=0.3547 G=2.6866 (adv=0.8731, cycle=0.1348, id=0.0897, sem=0.0166)
[101/200] D=0.3657 G=2.3995 (adv=0.8564, cycle=0.1129, id=0.0795, sem=0.0167)
[102/200] D=0.3605 G=2.4096 (adv=0.8810, cycle=0.1118, id=0.0786, sem=0.0172)
[103/200] D=0.3668 G=2.3144 (adv=0.8711, cycle=0.1051, id=0.0749, sem=0.0172)
[104/200] D=0.5265 G=2.4958 (adv=0.9732, cycle=0.1110, id=0.0791, sem=0.0169)
[105/200] D=0.4454 G=1.9392 (adv=0.6117, cycle=0.0949, id=0.0728, sem=0.0147)
[106/200] D=0.4129 G=1.9832 (adv=0.6805, cycle=0.0933, id=0.0710, sem=0.0149)
[107/200] D=0.3818 G=2.0696 (adv=0.7516, cycle=0.0950, id=0.0705, sem=0.0159)
[108/200] D=0.3631 G=2.1485 (adv=0.8073, cycle=0.0972, id=0.0706, sem=0.0163)
[109/200] D=0.3598 G=2.1859 (adv=0.8307, cycle=0.0985, id=0.0707, sem=0.0167)
[110/200] D=0.3506 G=2.2531 (adv=0.8615, cycle=0.1014, id=0.0721, sem=0.0168)
[111/200] D=0.3519 G=2.2201 (adv=0.8579, cycle=0.0992, id=0.0707, sem=0.0168)
[112/200] D=0.3461 G=2.2242 (adv=0.8677, cycle=0.0989, id=0.0701, sem=0.0169)
[113/200] D=0.3464 G=2.3279 (adv=0.9044, cycle=0.1043, id=0.0727, sem=0.0172)
[114/200] D=0.3402 G=2.2508 (adv=0.8877, cycle=0.0993, id=0.0706, sem=0.0173)
[115/200] D=0.3407 G=2.3653 (adv=0.9351, cycle=0.1045, id=0.0736, sem=0.0173)
[116/200] D=0.3377 G=2.2537 (adv=0.9008, cycle=0.0988, id=0.0696, sem=0.0171)
[117/200] D=0.3448 G=2.2551 (adv=0.8967, cycle=0.0994, id=0.0694, sem=0.0171)
[118/200] D=0.3399 G=2.2861 (adv=0.9124, cycle=0.1007, id=0.0698, sem=0.0173)
[119/200] D=0.3355 G=2.2900 (adv=0.9234, cycle=0.1003, id=0.0693, sem=0.0174)
[120/200] D=0.3367 G=2.2774 (adv=0.9182, cycle=0.0999, id=0.0685, sem=0.0173)
[121/200] D=0.3386 G=2.2721 (adv=0.9185, cycle=0.0995, id=0.0682, sem=0.0175)
[122/200] D=0.3307 G=2.2772 (adv=0.9252, cycle=0.0991, id=0.0687, sem=0.0177)
[123/200] D=0.3315 G=2.2757 (adv=0.9325, cycle=0.0988, id=0.0676, sem=0.0178)
[124/200] D=0.3317 G=2.2884 (adv=0.9340, cycle=0.0997, id=0.0678, sem=0.0178)
[125/200] D=0.3372 G=2.2624 (adv=0.9283, cycle=0.0983, id=0.0666, sem=0.0179)
[126/200] D=0.3310 G=2.2874 (adv=0.9318, cycle=0.0999, id=0.0677, sem=0.0181)
[127/200] D=0.3304 G=2.2811 (adv=0.9432, cycle=0.0987, id=0.0666, sem=0.0180)
[128/200] D=0.3297 G=2.3041 (adv=0.9467, cycle=0.1001, id=0.0677, sem=0.0181)
[129/200] D=0.3262 G=2.3024 (adv=0.9547, cycle=0.0998, id=0.0664, sem=0.0181)
